title,artist,estimated_year
Die da!?!,Die Fantastischen Vier,1992
MfG,Die Fantastischen Vier,1999
Tunnel,Die Fantastischen Vier,2002
Fremd im eigenen Land,Advanced Chemistry,1992
Wahre Liebe,Sabrina Setlur,1997
Mathematik,Eko Fresh,2004
Jein,Fettes Brot,1996
Hip Hop Hurra,Fettes Brot,1995
Nordisch by Nature,Fettes Brot,1995
Alles nur geklaut,Die Prinzen,1993
Mein Block,Massiv,2007
Mannequin,Massiv,2010
Royal Bunker,Royal TS,2004
Stress ohne Grund,Bushido,2007
Electro Ghetto,Bushido,2008
Sonnenbank Flavour,Bushido,2010
Mein Block (Splash),Sido,2004
Astronaut,Sido,2009
Schlechtes Vorbild,Sido,2006
Apokalypse,Kollegah,2014
King,Kollegah,2010
Jung brutal gutaussehend,Kollegah,2013
Hoodtape Anthem,Farid Bang,2014
5 Sterne,Capital Bra,2018
Tilidin,Capital Bra,2018
Berlin lebt,Capital Bra,2017
Plug,Bonez MC,2018
Indiana,Bonez MC,2017
Stadt,Bonez MC,2017
Mexico,RAF Camora,2018
Anissa,RAF Camora,2016
1ste Liebe,RAF Camora,2016
Was du Liebe nennst,Bausa,2018
Tobacco,Bausa,2018
Roller,Apache 207,2019
Wieder hier,Apache 207,2020
Komet,Apache 207,2020
Wolke 10,Juju,2020
Vermissen,Juju,2019
Liebe,Juju,2018
Bist du okay,Lea,2018
Sie weiß,Lea,2018
Treppenhaus,Lea,2018
Sonne mit Wolken,Loredana,2018
Sie hat Beats,Loredana,2018
Fünf Songs,Loredana,2018
Limousine,Ufo361,2019
Bling Bling,Ufo361,2020
Aldikracha,Ufo361,2018
Heiße Nächte,18 Karat,2017
Grauer Beton,Trettmann,2018
Egoist,Trettmann,2017
EZ,Trettmann,2018
Sekundenschlaf,Marteria,2010
Lila Wolken,Marteria,2017
Aliens,Marteria,2014
Splash,SXTN,2016
Drüsenfieber,SXTN,2016
Bonjour,SXTN,2017
Hurra die Welt geht unter,K.I.Z.,2015
Der goldene Mittelfinger,K.I.Z.,2015
Wir sind Stars,K.I.Z.,2009
Reiner Wahnsinn,Audio88 & Yassin,2013
Bargeld,Audio88 & Yassin,2013
Hinterland,Casper,2011
Lang lebe der Tod,Casper,2011
1986,Casper,2018
Lose Yourself,Eminem,2002
The Real Slim Shady,Eminem,2000
Without Me,Eminem,2002
In da Club,50 Cent,2003
Candy Shop,50 Cent,2005
P.I.M.P.,50 Cent,2003
California Love,2Pac,1995
Changes,2Pac,1998
Dear Mama,2Pac,1995
Juicy,The Notorious B.I.G.,1994
Hypnotize,The Notorious B.I.G.,1997
Mo Money Mo Problems,The Notorious B.I.G.,1997
N.Y. State of Mind,Nas,1994
C.R.E.A.M.,Wu-Tang Clan,1993
Protect Ya Neck,Wu-Tang Clan,1993
Triumph,Wu-Tang Clan,1997
The Bridge Is Over,Boogie Down Productions,1987
Rapper's Delight,The Sugarhill Gang,1979
The Message,Grandmaster Flash,1982
Fight the Power,Public Enemy,1989
Bring the Noise,Public Enemy,1988
Straight Outta Compton,N.W.A,1988
Fuck tha Police,N.W.A,1988
Gin and Juice,Snoop Dogg,1994
Drop It Like It's Hot,Snoop Dogg,2004
California Gurls,Snoop Dogg,2010
Still D.R.E.,Dr. Dre,1999
The Next Episode,Dr. Dre,2000
Forgot About Dre,Dr. Dre,1999
Hot in Herre,Nelly,2002
Country Grammar,Nelly,2000
Dilemma,Nelly,2002
Get Low,Lil Jon,2002
Yeah!,Usher,2004
This Is Why I'm Hot,Mims,2007
Crazy in Love,Beyoncé,2003
Run the World,Beyoncé,2011
Formation,Beyoncé,2016
Empire State of Mind,Jay-Z,2009
99 Problems,Jay-Z,2003
Hard Knock Life,Jay-Z,1998
HUMBLE.,Kendrick Lamar,2017
Alright,Kendrick Lamar,2015
Not Like Us,Kendrick Lamar,2024
God's Plan,Drake,2018
Hotline Bling,Drake,2015
One Dance,Drake,2016
Sicko Mode,Travis Scott,2018
Goosebumps,Travis Scott,2016
Antidote,Travis Scott,2015
Mask Off,Future,2017
Life Is Good,Future,2020
Bad and Boujee,Migos,2016
T-Shirt,Migos,2017
Old Town Road,Lil Nas X,2019
Industry Baby,Lil Nas X,2021
Lucid Dreams,Juice WRLD,2018
XO Tour Llif3,Lil Uzi Vert,2017
Gucci Gang,Lil Pump,2017
Bodak Yellow,Cardi B,2017
WAP,Cardi B,2020
Truth Hurts,Lizzo,2017
A Bar Song (Tipsy),Shaboozey,2024
Flowers,Miley Cyrus,2023
Espresso,Sabrina Carpenter,2024
212,Azealia Banks,2011
Roxanne,Arizona Zervas,2019
What's Poppin,Jack Harlow,2020
Tyler Herro,Jack Harlow,2020
Whoopty,CJ,2020
Drip Too Hard,Lil Baby,2018
The Box,Roddy Ricch,2019
Ric Flair Drip,Offset,2017
Pursuit of Happiness,Kid Cudi,2009
Day 'n' Nite,Kid Cudi,2008
Mr. Rager,Kid Cudi,2010
Niggas in Paris,Jay-Z & Kanye West,2011
Stronger,Kanye West,2007
Gold Digger,Kanye West,2005
Heartless,Kanye West,2008
Lose Control,Missy Elliott,2005
Work It,Missy Elliott,2002
Get Ur Freak On,Missy Elliott,2001
Hey Ya!,OutKast,2003
Ms. Jackson,OutKast,2000
B.O.B.,OutKast,2000
Renegade,Jay-Z & Eminem,2001
Smack That,Akon,2006
Lonely,Akon,2005
Don't Matter,Akon,2007
Right Round,Flo Rida,2009
Low,Flo Rida,2007
Whistle,Flo Rida,2012
Schwarz zu Blau,Peter Fox,2008
Alles neu,Peter Fox,2008
Haus am See,Peter Fox,2008
Frankfurt Block,Haftbefehl,2014
Asphalt Massaka,Haftbefehl,2010
Chabos wissen wer der Babo ist,Haftbefehl,2011
Auf 21,Gzuz,2017
Was hast du erwartet,Gzuz,2017
Bonez,Gzuz,2014
500 PS,187 Strassenbande,2017
Dior,187 Strassenbande,2018
Anker,187 Strassenbande,2017
Powerball,LX,2021
Komet (Remix),Sido & Apache 207,2020
0 Bock,Fler,2005
Neue Deutsche Welle,Fler,2009
Es gibt nur einen Berlin,Fler,2008
Sport Sport Sport,Manuellsen,2012
