title,artist,current_mb_year,spotify_year,discogs_year,listenbrainz_recording_mbid,listenbrainz_recording_name,listenbrainz_release_mbid,listenbrainz_release_name,status,error
Around the World (La La La La La),"A Touch Of Class, Pete Konemann",2020,2000,,,,,,timeout,timeout
Nossa Nossa (Ai Se Eu Te Pego) - Single Version,Ai Se Eu Te Pego Nossa Nossa,,2012,,,,,,no_match,
A Horse With No Name,America,1973,2011,1971,c44ad598-6f91-48d7-8502-c1708d99bc42,A Horse With No Name,a2a252b2-2602-4ae1-9bc3-e53f6339e6df,Hits,ok,
I.O.I.O. - Radio Edit,B 3,,2002,,26e20aa3-a922-4597-84ee-f7d18f83f54a,I.O.I.O.,e917a3f0-2dda-4242-9a88-a02518a52985,First,ok,
Bella Isola - Radio,Bata Illic,,2003,,,,,,no_match,
Like Ice in the Sunshine,Beagle Music,2007,1985,,0c94c1e0-2e4c-46de-9f97-3a8e10b078fa,Like Ice in the Sunshine (original version),cd318d15-533a-403b-80be-deadf2b1c355,Die ultimative Chartshow: Die erfolgreichsten Ballermann Hits – 50 Jahre Ballermann,ok,
I Gotta Feeling,Black Eyed Peas,2009,2009,,95849cc7-fa62-4953-803e-69ac1eded36f,I Gotta Feeling,8e066a9a-2073-4474-8ae3-11a1b16757a7,Major Flavours 5,ok,
Love Generation - Radio Edit,"Bob Sinclar, Gary Pine",2005,2005,,7caa8131-c126-4e23-8355-ae5da7f1fb0c,Love Generation (radio edit),13bccf8e-1cc0-447f-be1a-fe62898f4e6e,Love Generation,ok,
Summer Of '69,Bryan Adams,1984,1984,,63829f37-1e41-4f31-a5c8-4dfa78e0aa9d,Summer of ’69,4954d1c6-b98e-4ea2-b12f-b0a4c8f31ee3,Reckless,ok,
Ab in den Süden - Neuaufnahme,Buddy,2015,2014,,f717a7bf-fdd8-42d4-95c7-fd5d973bc2a0,Ab in den Süden (Neuaufnahme),02ea964f-145c-47f6-a4f2-63a700ce4cb0,Ab in den Süden 2014,ok,
Strandbikini,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,,2013,,,,,,no_match,
Have You Ever Seen The Rain,Creedence Clearwater Revival,1970,1970,,b5634bbd-cf5c-4206-8063-f7f5079eaa29,Have You Ever Seen the Rain?,933f90d8-a468-4f77-83e7-7b0826696106,Pendulum,ok,
Beautiful Sunday,Daniel Boone,1997,2013,1977,d91e5bec-87fd-4886-a74d-f4ed66d1d21b,Beautiful Sunday,0e8db110-5773-48b3-b9cc-5e0e881924fe,Beautiful Sunday,ok,
"Türlich, Türlich (Sicher, Dicker)",Das Bo,2000,2000,2000,aa90bbf9-9493-4010-8b8b-66f3ec81899d,"Türlich, türlich (sicher, Dicker)",04a28739-fffc-375c-b2d9-b4996c2924a1,"Türlich, türlich (sicher, Dicker)",ok,
When Love Takes Over (feat. Kelly Rowland),"David Guetta, Kelly Rowland",2009,2010,,fe607407-bc4e-4b49-957d-58facce39e74,When Love Takes Over,969bedb6-49d6-43db-9c36-5468ef6d082f,One Love,ok,
Dance Little Birdie,De Electronica's,,1980,,5b5f3eec-4a53-49dd-a26b-4548e0dd620f,Dance Little Bird,18f160f5-16d3-4be6-999a-68f2aa1403f4,Boemelen met De Electronica’s,ok,
Ich bin der Martin 'ne,Diether Krebs,1991,2005,,77f34807-cda2-4427-99e3-382f3f45c965,"Ich bin der Martin, ne…?!",331c0734-e312-42e6-a14d-b21258c6c85b,"Martin, ne...?!",ok,
Volare,Domenico Modugno,2010,2020,1972,358794a1-b8df-4245-acb1-1489b813e297,Volare,e3a8c625-5b3e-4627-ae13-3e01fd0bce9c,Filmmusik von Eis am Stiel,ok,
