"status","title","artist","estimated_year","mb_year","discogs_year","chosen_candidate","notes"
"review_needed","Around the World (La La La La La)","A Touch Of Class, Pete Konemann","2000","2020","","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only"
"review_needed","Nossa Nossa (Ai Se Eu Te Pego) - Single Version","Ai Se Eu Te Pego Nossa Nossa","2012","","","","review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match"
"review_needed_after_discogs","A Horse With No Name","America","2011","1973","1971","1973","soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; Discogs earlier than MusicBrainz; manual review required"
"review_needed","I.O.I.O. - Radio Edit","B 3","2002","","","","review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match"
"review_needed","Bella Isola - Radio","Bata Illic","2003","","","","review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match"
"review_needed","Like Ice in the Sunshine","Beagle Music","1985","2007","","","review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only"
"review_needed","I Gotta Feeling","Black Eyed Peas","2009","2009","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Love Generation - Radio Edit","Bob Sinclar, Gary Pine","2005","2005","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Summer Of '69","Bryan Adams","1984","1984","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Ab in den Süden - Neuaufnahme","Buddy","2014","2015","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Strandbikini","Club Honululu Itsy Bitsy Teenie Weenie Honolulu","2013","","","","review_reason: mb_no_match; risk_flags: mb_no_match+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match"
"review_needed","Have You Ever Seen The Rain","Creedence Clearwater Revival","1970","1970","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Beautiful Sunday","Daniel Boone","2013","1997","1977","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late"
"review_needed","Türlich, Türlich (Sicher, Dicker)","Das Bo","2000","2000","2000","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only"
"review_needed","When Love Takes Over (feat. Kelly Rowland)","David Guetta, Kelly Rowland","2010","2009","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Dance Little Birdie","De Electronica's","1980","","","","review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match"
"review_needed","Ich bin der Martin 'ne","Diether Krebs","2005","1991","","","review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only"
