title,artist,estimated_year,spotify_track_id,isrc
I Will Survive - Single Version,Gloria Gaynor,2000,7cv28LXcjAC3GsXbUvXKbX,USPR37800083
The Power,SNAP!,1990,0nQLxiNGbbUoSGrxksETLm,DET189000100
The Boys Of Summer,Don Henley,1984,4gvea7UlDkAvsJBPZAd4oB,USGF18502601
Itchycoo Park (Stereo Version) - 2013 Remaster,Small Faces,2014,6qo9HLauNkHByF9tqXDeNB,GBA7H1244642
Power Over Me,Dermot Kennedy,2019,3CNLrZJST54nE4PUkS83Sl,USUG11802208
No Money,Galantis,2016,0gb1J5UrTpzaU1s3nupgCd,USAT21600941
We Be Burnin' - Legalize It,Sean Paul,2005,0NdGw6EieDYg2URPjxp3Od,USAT20502058
Shine,Aswad,2017,5jCdKF1UAVD4fqkZ9GIWTf,GBBRL0690163
Flying High - Radio Mix,Captain Hollywood Project,1994,7xR6hQnqYOjpBu343MRMqa,DEMI60900107
Boogie Wonderland (with The Emotions),"Earth, Wind & Fire, The Emotions",1979,6ztstiyZL6FXzh4aG46ZPD,USSM19922860
Superstition - Single Version,Stevie Wonder,2002,1h2xVEoJORqrg71HocgqXd,USMO10000310
Would I Lie To You?,Charles & Eddie,1992,3PkvYP6223QO3xlW2THd1x,USCA29200183
I Should Be so Lucky,Kylie Minogue,1988,0RggFSMfsJvAsrI4itTIzr,GBBTK0900051
"Djobi, Djoba",Gipsy Kings,1987,2Mz7HwloqFNdA6iZeZk5PJ,GBARL0700404
Wonderwall,Oasis,1995,1qPbGZqppFwLwcBC1JQ6Vr,GBAAW9500189
Schüttel deinen Speck,Peter Fox,2008,4zAV2pS81cE30xhBHwG9Pf,DEA620800631
Conga!,"Miami Sound Machine, Gloria Estefan",2006,0KxTWgl64TNOQXiGFJYc6t,USSM10026825
Smells Like Teen Spirit,Nirvana,1991,4CeeEOM32jQcH3eN9Q2dGj,USGF19942501
Dynamite,BTS,2020,4saklk6nie3yiGePpBwUoc,QM7282022872
Keep On Running - Remastered 2010,The Spencer Davis Group,2010,45ghY6i6XTeHuOEtG1HwrQ,GBUM71002671
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",2020,1xQ6trAsedVPCdbtDAmk0c,USSM12003798
Santa's Coming for Us,Sia,2017,3AlpkljBS1AU7HFVPms8K6,USAT21704210
Respect,Aretha Franklin,1967,7s25THrKz86DM225dOYwnr,USAT20801240
Hold My Hand,Jess Glynne,2015,1i1rNVtxbE7rdFfpHuNq2j,GBAHS1500049
Let Me Entertain You,Robbie Williams,1997,0SLtqCrXBRrnkxSOMA3X4W,GBAYE9701083
Dance The Night Away,The Mavericks,1998,1N67xd3y9s23vitoiP3Zv5,USMC19701159
Con Calma,"Daddy Yankee, Snow",2019,5w9c2J52mkdntKOmRLeM2m,US2BU1900125
Freedom,Wham!,1984,0PhU6i6Kei6x0CH3jocvA3,GBBBN0009302
"Relax, Take It Easy",MIKA,2006,0KM2y796j63t5RHhvRUxld,USC7R0600114
YMCA - Original Version 1978,Village People,1978,54OR1VDpfkBuOY5zZjhZAY,FR6V80878846
