title,artist,estimated_year,spotify_track_id,isrc
Colors Of The Wind - End Title,Vanessa Williams,1995,4qjrCkcVbsYlitCqbBkeKe,USWD10110149
abcdefu,GAYLE,2023,0y1mX0LxNwSMRPXWutJOJu,USAT22103652
Leave (Get Out),JoJo,2004,3QigOeWryUCP56I1IlTB9x,USUYG1353158
Shallow - Radio Edit,"Lady Gaga, Bradley Cooper",2018,6QfS2wq5sSC1xAJCQsTSlj,USUM71815945
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1955,1uRKT2LRANv4baowBWHfDS,USMC15486163
"Theme From New York, New York",Frank Sinatra,1980,3QksrtI9VFCBHWA4rgvcV8,USRH10801153
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,1967,5qyq1H5OPMlfuvZQ1wQNo7,USBWC0010022
Sk8er Boi,Avril Lavigne,2002,00Mb3DuaIH1kjrwOku9CGU,USAR10200229
Knock You Down,"Keri Hilson, Kanye West, Ne-Yo",2009,3OWcWJz1c0pIc6L3IDDhpP,USUM70955396
Can't Stay Away from You,Gloria Estefan,1987,3RVFcKmgDFuYeYIdxBXK8K,USSM18700012
Sweet Child O' Mine,Guns N' Roses,1987,7o2CTH4ctstm8TNelqjb51,USGF18714809
A Thousand Miles,Vanessa Carlton,2002,4w1lzcaoZ1IC2K5TwjalRP,USIR10210955
Soul Man,Sam & Dave,1967,4eGHlplaq1ME8oetnTuFFf,USAT20001065
Leader Of The Pack,The Shangri-Las,1996,6O5PIO5pAWxdoxvaUFQ02G,USPR36402725
Stuck,Stacie Orrico,2003,2ptt0Eftq3b2jElTRrctrT,USFF10218231
Stickwitu,The Pussycat Dolls,2005,2lgz3yy1AyoceOVOOBmiOS,USUM70503127
Child in Time,Deep Purple,1990,21cp8L9Pei4AgysZVihjSv,GBDXG0600057
She Drives Me Crazy,Fine Young Cannibals,1988,4d6eqRtpDX7tydHJGDZUBQ,USRH10901907
Do You Know the Way to San Jose,Dionne Warwick,1968,1YIWYzMq84I46LmgX1vpye,USWSP0000033
For Your Eyes Only,Sheena Easton,1981,4jRJWlkCn3pAwezfqFODU3,USMG28100001
Snow (Hey Oh),Red Hot Chili Peppers,2006,2aibwv5hGXSgw7Yru8IYTO,USWB10601591
Old Town Road,Lil Nas X,2019,0F7FA14euOIX8KcbEturGH,USSM11901941
My Old Piano,Diana Ross,1980,4d4yVNYVwxrNsy5ukJ4QTJ,USMO18090043
Don't Stop Believin',Journey,1981,4bHsxqR3GMrXTxEPLuK5ue,USSM18100116
Stay With Me,Sam Smith,2014,5Nm9ERjJZ5oyfXZTECKmRt,GBUM71308833
Let's Dance - 2002 Remaster,David Bowie,1983,4cVHMHgmWgudD399ZdhQ3L,USJT10200038
Licence To Kill,Gladys Knight,1989,2ytwDkF0RLOi6qL2uJ2cQG,USMC18928828
La Bamba - Single Version,Ritchie Valens,1959,2aEeghgUcnu75tzcolFMfs,USRH10402003
What About Us,P!nk,2017,0Qh38w01QRXK6KHIv0e3hb,USRC11701586
Ring of Fire,Johnny Cash,1963,6YffUZJ2R06kyxyK6onezL,USSM11201688
All For You,Janet Jackson,2001,5X8kkUaUlAyAUr9TYqDFTH,USVI20100057
Royals,Lorde,2013,4SDWMFvYJKtK1QPhIOeZhd,NZUM71200031
Billie Jean,Michael Jackson,2008,5ChkMS8OtdzJeqyybCc9R5,USSM19902991
Africa,TOTO,1982,2374M0fQpWi3dLnB54qaLX,USSM19801941
Whole Lotta Shakin' Going On - Remastered 2022,Jerry Lee Lewis,2022,0cbFre6QguzhyLoBqhxr1z,USSE62200090
Tutti Frutti,Little Richard,1957,2iXcvnD3d1gfLBum0cE5Eg,USC4R1100478
Vienna,Ultravox,2020,2LXjhNee4iPRVemx9NSZQ3,GBAYK8000061
Hello,Lionel Richie,1983,6HMvJcdw6qLsyV1b5x29sa,USMO18390012
APT.,"ROSÉ, Bruno Mars",2024,5vNRhkKd0yEAg8suGBpjeY,USAT22409172
Die Young,Sheppard,2019,0XSTOKFdWPXlAEliq17XRw,AUIYA1900004
Hit 'Em Up Style (Oops!),Blu Cantrell,2001,4zYTZvtcww7OWKie7fxA9E,USAR10100372
Call Me Maybe,Carly Rae Jepsen,2012,20I6sIOMTCkB6w7ryavxtO,CAB391100615
No Woman No Cry,Bob Marley & The Wailers,1974,3PQLYVskjUeRmRIfECsL0X,GBAAN7490002
