title,artist,estimated_year,spotify_track_id,isrc
Hells Bells,AC/DC,1986,2P884dqfjksDMSzUZksfrS,AUAP08000041
Hard To Handle,The Black Crowes,1990,05NYcsjJwOYq4jIiKPVj9p,USSM19000343
Purple Rain,Prince,1984,1uvyZBs4IZYRebHIB1747m,USWB10001880
Wild Thing,The Troggs,1966,7jGzYUZ2Bgg8BDfYlQRfn8,GBF086600001
Prey,Parkway Drive,2018,7lMFAK8dv0QkWpIlZcWQlJ,USEP41712003
Feel Invincible,Skillet,2016,0i8JFpqe9cKwnrcvoNgl1L,USAT21601370
B.Y.O.B.,System Of A Down,2005,0EYOdF5FCkgOJJla8DI2Md,USSM10501327
Machinehead - Remastered 2014,Bush,1994,1wrhhPzd2ncJPNgUcGgBGg,QM7YK1400021
Basket Case,Green Day,1994,6L89mwZXSOwYl76YXfX13s,USRE19900151
Call Me,Blondie,1999,4qO03RMQm88DdpTJcxlglY,USCH38900008
Sweet Home Alabama,Lynyrd Skynyrd,1974,7e89621JPkKaeDSTQ3avtg,USMC17446153
Fear of the Dark - 2015 Remaster,Iron Maiden,1992,6p8eFfPw3nQkf37aT3AkmK,GBCHB1800082
With Or Without You,U2,2006,4N0fzRX3T7QkOecp3pkWpp,GBAAN8790003
Just Like Heaven - Remastered 2006,The Cure,1987,4NnWuGQujzWUEg0uZokO5M,GBALB8700003
Champagne Supernova,Oasis,1995,6EMynpZ10GVcwVqiLZj6Ye,GBAAW9500197
Psychosocial,Slipknot,2008,3RAFcUBrCNaboRXoP3S5t1,NLA320886993
(I Just) Died In Your Arms,Cutting Crew,1986,4ByEFOBuLXpCqvO1kw8Wdm,GBAAA8600046
Give It Away,Red Hot Chili Peppers,1991,0uppYCG86ajpV2hSR3dJJ0,USWB19901574
bloody valentine,mgk,2020,6mADjHs6FXdroPzEGW6KVJ,USUM72005714
My Generation,The Who,1965,2EMmHEhCZSMMEM85HTFJvj,GBAKW6500004
Panic,From Ashes to New,2020,7mUaGkK1gMEuo3IUWCqF0P,USDPK2000008
Highway Tune,Greta Van Fleet,2017,7aOor99o8NNLZYElOXlBG1,USUM71702892
Sunshine Of Your Love,Cream,1967,6FRwDxXsvSasw0y2eDArsz,GBA076700020
Drop Dead Cynical,Amaranthe,2014,3X1usZ9bRwbyEjAnkLAJWO,FIUM71400483
Semi-Charmed Life,Third Eye Blind,1997,42et6fnHCw1HIPSrdPprMl,USEE19701203
What's My Age Again?,blink-182,1999,4LJhJ6DQS7NwE7UKtvcM52,USMC19959007
Another Life,Motionless In White,2019,0YZEYxd1oiqZRFhnnmTKKi,NLA321900085
Round and Round,Ratt,1984,57P8gH8rjt4OqEoqzut1bL,USAT29900560
My Curse,Killswitch Engage,2007,6zKF4293k44ItKWJJgrhXv,NLA320682675
My Sharona,The Knack,1979,1HOMkjp0nHMaTnfAkslCQj,USCA28900153
Satellite,Rise Against,2011,5sG3G54H21hNfd5etlheoe,USUM71101043
Stairway to Heaven - Remaster,Led Zeppelin,1971,5CQ30WqJwcep0pYcV4AMNc,USAT21300959
Owner of a Lonely Heart,Yes,1983,0GTK6TesV108Jj5D3MHsYb,USAT20702539
Don't Bring Me Down,Electric Light Orchestra,1979,72ahyckBJfTigJCFCviVN7,USSM10015734
Cherry Bomb,The Runaways,1976,7cdnq45E9aP2XDStHg5vd7,USIR20200576
Holy Diver,Dio,1983,54yLLvpezvPO1lA3GspiZj,NLF050390016
November Rain,Guns N' Roses,1991,3YRCqOhFifThpSRFJ1VWFM,USGF19141510
The Trooper - 2015 Remaster,Iron Maiden,1983,4OROzZUy6gOWN4UGQVaZMF,GBCHB1800032
Kickstart My Heart,Mötley Crüe,1989,4Yqy0GpeDEXLibWJCZyQew,USBY29900215
Masterpiece,Motionless In White,2022,3c9kVsKF68xMzlS0NikVn3,NLA322200040
Bulls On Parade,Rage Against The Machine,1996,0tZ3mElWcr74OOhKEiNz1x,USSM19502563
Come As You Are,Nirvana,1991,2RsAajgo0g7bMCHxwH3Sk0,USGF19942503
Born in the U.S.A.,Bruce Springsteen,1984,0dOg1ySSI7NkpAe89Zo0b9,USSM18400406
Fat Lip,Sum 41,2001,4KacUpvbA3Mfo05gttTjhN,USIR20110124
Get It On,T. Rex,1971,0LoQuiekvzqx7n8flgEKzF,GBCHM7100038
Misery Business,Paramore,2007,3l9CW99AHtExIRV4hW2N5m,USAT20702617
The Passenger,Iggy Pop,1977,15BQ7vEDv2LJuh8TxWIhtd,USVI20700278
Hate To Say I Told You So,The Hives,2000,20j7B6mL9gnNvG3ic6Vwh5,SEVHC0007060
Silent Lucidity - Remastered 2003,Queensrÿche,1990,6OSyCAmXT4Gkd3OQ2aPOaF,USEM30200450
Savior,Rise Against,2008,1vcxF91pWs9uNwDROuiCPB,USUM70832584
Tutti Frutti,Little Richard,1957,2iXcvnD3d1gfLBum0cE5Eg,USC4R1100478
We Got the Moves,Electric Callboy,2021,4EFb9FhLyFiDbYKwBwDZre,GBDHC2227201
Rose Tattoo,Dropkick Murphys,2013,3j5QcKYJ836ZBbcj1OoEod,USK251300003
I Love Rock 'N Roll,Joan Jett & the Blackhearts,1981,2Cdvbe2G4hZsnhNMKyGrie,USBH18100118
La Grange,ZZ Top,2022,2YgjwTiG85B2tvqmdRNpba,QMRSZ2200138
Supermassive Black Hole,Muse,2006,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593
Celebrity Skin,Hole,1998,2V4Bc2I962j7acQj1N0PiQ,USGF19816401
Square Hammer,Ghost,2016,5TNhjanmvwvmjCz2WYwSAv,USC4R1601938
Rollin' (Air Raid Vehicle),Limp Bizkit,2000,3IV4swNduIRunHREK80owz,USIR10001170
Alone In A Room,Asking Alexandria,2017,5Gw8owErJLfkNxWCSwPQKJ,USYFZ1791001
Go Your Own Way,Fleetwood Mac,1988,15rjQH7nTcTomKwfVMd4xl,USWB19900181
American Woman,The Guess Who,2012,3QKGkxQnLTo3FWUTNJZlYH,GBQRF1113026
Heat Of The Moment,Asia,1982,1nmZ8yqKkfooOuYvtFctDp,USGF18200801
Juke Box Hero,Foreigner,1981,00qOE7OjRl0BpYiCiweZB2,USAT20803006
The Devil's Bleeding Crown,Volbeat,2016,3TjQAc2PzWzlSDrnq61J1y,DKNE11600101
Songs für Liam,Kraftklub,2012,2isyujVLDSr4lYhIo7qCRw,DEUM71104128
Chop Suey!,System Of A Down,2001,2DlHlPMa4M17kufBvI2lEN,USSM10107256
Schrei nach Liebe,Die Ärzte,1993,4P4PHxZQ1FcwQKKnfEPsAZ,DEZ650506930
Teenage Dirtbag,Wheatus,2000,3LI4MmibTkXH5cGpCGZgyw,USSM10008431
Here I Go Again,Whitesnake,1994,1tQ5TSr1tyeQUbHKBee0jv,GB01A8700011
Hail to the King,Avenged Sevenfold,2013,5anCkDvJ17aznvK5TED5uo,USWB11302191
Sleepwalking,Bring Me The Horizon,2013,0gchQwxmBWj5no8NJ8b2yH,GBARL1202418
Eye of the Tiger,Survivor,1982,2HHtWyy5CgaQbC7XSoOb0e,USVR19300001
"Oh, Pretty Woman",Roy Orbison,2006,52HAHV1j93s5B8GoTNI7DJ,USSM16401575
The Final Countdown,Europe,1986,3MrRksHupTVEQ7YbA0FsZK,USSM18600196
Rock Around The Clock,Bill Haley & His Comets,1968,34AmZ4PMz9iNZVp9AMIGZj,SEBFO6804010
Death by Rock and Roll,The Pretty Reckless,2021,18DJQsejI5e1ZwO2wyuP2g,US5262023639
Interstate Love Song,Stone Temple Pilots,2003,600s08VdbjiyAjDGDjYSFI,USAT20181162
No One Like You,Scorpions,2011,5hVepr5CHiTGtJY5bP4i5n,DEE861101518
Balls to the Wall,Accept,1983,28sMmBCmfHoy6NjZnovEYG,USSM18400165
Carry on Wayward Son,Kansas,1976,4DMKwE2E2iYDKY01C335Uw,USSM17600874
Welcome to the Black Parade,My Chemical Romance,2006,5wQnmLuC1W7ATsArWACrgW,USRE10602613
Maybellene,Chuck Berry,1959,3SQhmctWreNM0X6Zkm2K5R,USMC15519962
I Hate Myself for Loving You,Joan Jett & the Blackhearts,1988,2HXixVqzzm9rEUIMAWzshl,USSM10021818
Animals,Architects,2021,5ofoB8PFmocBXFBEWVb6Vz,USEP42058010
I Will Not Bow,Breaking Benjamin,2009,2yXyz4NLTZx9CLdXfLTp5E,USHR10924529
Freak On a Leash,Korn,1998,6W21LNLz9Sw7sUSNWMSHRu,USSM19801755
Dance Macabre,Ghost,2018,4pIKFpwflOdhYNIRmPTj3E,USC4R1802371
What I Got,Sublime,1996,3B4q6KbHbGV51HO3GznBFF,USGA19649251
Wake up Little Susie,The Everly Brothers,1964,11fNLqDB47gMKj7BHhR2Qr,USWB19903263
I Wanna Rock,Twisted Sister,1984,70Z9t1qhytWtG4cCmmi7mU,USAT20000551
Black Hole Sun,Soundgarden,1994,2EoOZnxNgtmZaD8uUmz2nD,USAM19400007
Bad Medicine,Bon Jovi,1988,72hcFp4tYkd3dbNA9dZ3Pv,USPR39402228
Rock And Roll All Nite,KISS,1975,0fCWbJq1hagsRgShtn6gIU,USPR37509157
Mr. Jones,Counting Crows,1993,5DiXcVovI0FcY2s0icWWUu,USIR10000287
Bodies,Drowning Pool,2001,7CpbhqKUedOIrcvc94p60Y,USWU30006502
Stinkfist,TOOL,1996,0pwObEOHolQZSldJ2q1wpy,USZE19600081
Run For Cover,The Killers,2017,5NAiPIEzxAexFE3ucV18Q8,USUM71707343
Kryptonite,3 Doors Down,2000,6ZOBP3NvffbU4SZcrnt1k6,USUR19980187
Free Bird,Lynyrd Skynyrd,1973,5EWPGh7jbTNO2wakv8LjUI,USMC17301722
Howlin' for You,The Black Keys,2012,4yffABDkB5A9flvr9vQFck,USNO12000174
Master Of Puppets,Metallica,1986,2MuWTIM3b0YEAskbeeFE1i,QMKHM1600219
The Kill (Bury Me),Thirty Seconds To Mars,2005,1p1nO35bbi4ZlQgjIA4oa4,USVI20500136
Heart-Shaped Box,Nirvana,1993,11LmqTE2naFULdEP94AUBa,USGF19960703
Put Your Head On My Shoulder,Paul Anka,2000,2DpJ9T2RVRanZcYFHKOAfA,USRC10000600
Should I Stay or Should I Go - Remastered,The Clash,1982,39shmbIHICJ2Wxnk1fPSdz,GBARL1200670
Scar Tissue,Red Hot Chili Peppers,1999,1G391cbiT3v3Cywg8T7DM1,USWB19900674
Ace of Spades,Motörhead,1980,3CIOopLwvyMvXk97ZEksKO,GBAJE8000033
18 and Life,Skid Row,1989,3620P9KJS2PDebJ9ABFitc,USAT20901906
Green Onions,Booker T. & the M.G.'s,1962,4fQMGlCawbTkH9yPPZ49kP,USAT20000736
Iron Man,Black Sabbath,2016,74fURW8XNuLYHOvKmjA2XT,GBAJE7000085
The Summoning,Sleep Token,2023,5bG7kGH4z8hG2jJQLoyy0O,GBUM72200352
Bulletproof,Godsmack,2018,4Pp7tPCBM9ywQexWvCz6iH,QMRSZ1703237
Hit the Road Jack,Ray Charles,2012,49fzPkBb3aOUWYRKaTWVhm,FR6V81229417
Circle With Me,Spiritbox,2021,3FI0iAAAjmR31xpZEwbdys,QMRSZ2100664
California Dreamin',The Mamas & The Papas,2001,1ZEOIhSn6BKErV59bIgn76,USMC16532697
Face Down,The Red Jumpsuit Apparatus,2006,4wzjNqjKAKDU82e8uMhzmr,USVI20600108
R U Mine?,Arctic Monkeys,2013,2AT8iROs4FQueDv2c8q2KE,GBCEL1300363
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,1974,0HOrDVS349XFcpCYsO2hAP,USPR39401742
Run Through The Jungle,Creedence Clearwater Revival,1970,6J0AjzrYsPZrQtw6IjErhy,USC4R0817631
Song #3,Stone Sour,2017,5jsDxDkJ1PqyYUWhDMr86B,NLA321700079
You're Going Down,SICK PUPPIES,2009,5FQXMRDSTkn9fowDJ3kZo8,USVI20900226
Born to Run,Bruce Springsteen,1975,6hTcuIQa0sxrrByu9wTD7s,USSM17500423
Centuries,Fall Out Boy,2015,04aAxqtGp5pv12UXAg4pkq,USUM71412644
For What It's Worth,Buffalo Springfield,1966,1qRA5BS78u3gME0loMl9AA,USEE10170607
Epic,Faith No More,1989,4ReyTz0y3TGkX48wO3Llot,GBANC8900003
Still Waiting,Sum 41,2002,0jqK7sGTLsHPkQrrcrGuKD,USIR20200792
Hotel California,Eagles,1976,1rh232CwAy3EDEWFJkwH88,GBSMU2679348
No One Knows,Queens of the Stone Age,2002,6y20BV5L33R8YXM0YuI38N,USIR10211291
Painkiller,Judas Priest,1990,0L7zm6afBEtrNKo6C6Gj08,GBBBN0102557
Fight For Your Right,Beastie Boys,1986,5NLuC70kZQv8q34QyQa1DP,USDJ28600007
I Write Sins Not Tragedies,Panic! At The Disco,2005,4bPQs0PHn4xbipzdPfn6du,US56V0507710
Tears Don't Fall,Bullet For My Valentine,2005,7ln7o4q6y9h8qEc6hGrtr1,GBHQD0500017
Symphony Of Destruction,Megadeth,1992,51TG9W3y9qyO8BY5RXKgnZ,USCA20400616
Bonnie & Clyde,Die Toten Hosen,1996,2hZAJcLnFGk6V50TiD7yzm,DEF240712435
My Own Worst Enemy,Lit,1999,33iv3wnGMrrDugd7GBso1z,USRC19808159
"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,1985,2avaSeKHI5l4sLruVfLdi2,USVR19300003
GOSSIP (feat. Tom Morello),"Måneskin, Tom Morello",2023,44Xyja7xYPlVC6v2CeweSi,ITB002200841
Plush,Stone Temple Pilots,1992,3jJZVeExYzVYiV6Y9Fl3DX,USAT29200016
Pour Some Sugar On Me,Def Leppard,1987,1aZLIbKEdsyqxyD6iNcrbA,GBF088790147
I Stand Alone,Godsmack,2003,6eYUbXmncekAKMYZcsSkyD,USUR10111257
Going Under,Evanescence,2003,3UygY7qW2cvG9Llkay6i1i,USWU30200108
The Middle,Jimmy Eat World,2001,6GG73Jik4jUlQCkKg9JuGO,USDW10110256
Hound Dog,Elvis Presley,1958,64Ny7djQ6rNJspquof2KoX,USRC15602857
Sk8er Boi,Avril Lavigne,2002,00Mb3DuaIH1kjrwOku9CGU,USAR10200229
Break on Through (To the Other Side),The Doors,1967,6ToM0uwxtPKo9CMpbPGYvM,USEE19900198
Surfin' U.S.A.,The Beach Boys,2012,2EPr9Wx7e1cpGEbNAtuN7x,USCA21201955
Need A Favor,Jelly Roll,2023,07on0OB2cdPt79IFsgdRUy,QMRSZ2203220
The Emptiness Machine,Linkin Park,2024,2PnlsTsOTLE5jnBnNe2K0A,USWB12403464
Cut the Cord,Shinedown,2015,4LFBVDJV0xpayUvquQVzhS,USAT21501541
Hurricane,I Prevail,2019,2GFwwTIVLjnOrtP7m9luHC,US5261923090
Are You Gonna Be My Girl,Jet,2003,72zZfHPYx43shcP3eKkYi5,USEE10340526
American Idiot,Green Day,2004,6nTiIhLmQ3FWhvrGafw2zj,USRE10400888
Hit Me With Your Best Shot,Pat Benatar,1980,0vOkmmJEtjuFZDzrQSFzEE,USCH38400009
Crazy Train,Ozzy Osbourne,2020,7ACxUo21jtTHzy7ZEV56vU,USSM11002845
I WANNA BE YOUR SLAVE,Måneskin,2021,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115
