title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,mb_year,mb_year_source,deezer_year,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,final_year
Lonely - Re-Recorded 2021,"Nana Darkman, Alexandra Prince",1997,csv_year,mb_no_match,mb_no_match; deezer:no_year,1997,1997,,mb_no_match,,,,,,manual_quit_pending,mb_no_match; deezer:no_year; manual: quit pending,,2XAuKwZuf3EPDo9GLfBDsB,Lonely - Re-Recorded 2021,"Nana Darkman, Alexandra Prince",playlist_import,,DEPI82101614,true,
Strandbikini,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,2013,csv_year,mb_no_match,mb_no_match; deezer:no_year,2013,2013,,mb_no_match,,,,,,manual_skipped,mb_no_match; deezer:no_year; manual: skipped for later review,,1rvr5N1PGjoE7rsJZCdomp,Strandbikini,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,playlist_import,,DEU241266207,true,
It's a Real Good Feeling,"Peter Kent, Luisa Fernandez",2000,csv_year,mb_no_match,mb_no_match,2000,2000,,mb_no_match,2023,,,,,mb_no_match,mb_no_match,,3k2F7ncBMqQOwAY29KiiPF,It's a Real Good Feeling,"Peter Kent, Luisa Fernandez",playlist_import,,AUXN22294751,true,
Boys - Summertime Love,Sabrina,1988,csv_year,mb_no_match,mb_no_match,1988,1988,,mb_no_match,2010,,,,,mb_no_match,mb_no_match,,1uI848raFaNWwe9HjHpjQ5,Boys - Summertime Love,Sabrina,playlist_import,,GBJUT1009950,true,
Chocolate (Choco Choco) - Single Version,Soul Control,2020,csv_year,mb_no_match,mb_no_match; deezer:no_year,2020,2020,,mb_no_match,,,,,,mb_no_match,mb_no_match; deezer:no_year,,3J5F2R62SIyivGUdebjR0O,Chocolate (Choco Choco) - Single Version,Soul Control,playlist_import,,DEA312007513,true,
Around the World (La La La La La),"A Touch Of Class, Pete Konemann",2000,csv_year,mb_match_uncertain,artist_or_title_mismatch; deezer:no_year,2000,2000,2000,mb_match_uncertain,,,,,,mb_match_uncertain,artist_or_title_mismatch; deezer:no_year,0,0IbTukfZdB91gclEXUQZkH,Around the World (La La La La La),"A Touch Of Class, Pete Konemann",playlist_import,,DEP810000008,true,
Danza Kuduro,"Don Omar, Lucenzo",2010,csv_year,mb_match_uncertain,artist_or_title_mismatch,2010,2010,2010,mb_match_uncertain,2010,,,,,mb_match_uncertain,artist_or_title_mismatch,0,6DXLO8LndZMVOHM0wNbpzg,Danza Kuduro,"Don Omar, Lucenzo",playlist_import,,USUM71020778,true,
Lambada - Original Version 1989,Kaoma,1989,csv_year,mb_match_uncertain,no_year,1989,1989,,mb_match_uncertain,1989,,,,,mb_match_uncertain,no_year,,6xepovPqjvrkEw9Y5AMmTm,Lambada - Original Version 1989,Kaoma,playlist_import,,FR6V89602629,true,
Nur Noch Schuhe An!,"Mickie Krause, Willi Herren",2012,csv_year,mb_match_uncertain,artist_or_title_mismatch; deezer:no_year,2012,2012,2012,mb_match_uncertain,,,,,,mb_match_uncertain,artist_or_title_mismatch; deezer:no_year,0,2Fo33Bf61uSKCtFmTcgxuV,Nur Noch Schuhe An!,"Mickie Krause, Willi Herren",playlist_import,,DEC611200301,true,
D.I.S.C.O. - Single Version,Ottawan,1980,csv_year,mb_match_uncertain,artist_or_title_mismatch,1980,1980,1980,mb_match_uncertain,1980,,,,,mb_match_uncertain,artist_or_title_mismatch,0,7KkdYJqxvq4ZFq9gvFy06v,D.I.S.C.O. - Single Version,Ottawan,playlist_import,,FR58F7900100,true,
Cover Me In Sunshine,"P!nk, Willow Sage Hart",2021,csv_year,mb_match_uncertain,live_or_variant_only,2021,2021,2021,mb_match_uncertain,2021,,,,,mb_match_uncertain,live_or_variant_only,0,6Tio0ZoDeSQnI7EBAqWer2,Cover Me In Sunshine,"P!nk, Willow Sage Hart",playlist_import,,USRC12100138,true,
