title,artist,csv_year,mb_year,mb_year_source,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,final_year
Boys - Summertime Love,Sabrina,1988,1988,fallback,0,1uI848raFaNWwe9HjHpjQ5,Boys - Summertime Love,Sabrina,playlist_import,,GBJUT1009950,true,1988
Bella Isola - Radio,Bata Illic,2003,2003,fallback,0,0tRdzXtsvcdVcUCvLYa6Ow,Bella Isola - Radio,Bata Illic,playlist_import,,DEQ090300067,true,2003
Lonely - Re-Recorded 2021,"Nana Darkman, Alexandra Prince",1997,1997,fallback,0,2XAuKwZuf3EPDo9GLfBDsB,Lonely - Re-Recorded 2021,"Nana Darkman, Alexandra Prince",playlist_import,,DEPI82101614,true,1997
Strandbikini,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,2013,2013,fallback,0,1rvr5N1PGjoE7rsJZCdomp,Strandbikini,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,playlist_import,,DEU241266207,true,2013
I.O.I.O. - Radio Edit,B 3,2002,2002,fallback,0,3b2lYcUl4Scnm4CnltLMvY,I.O.I.O. - Radio Edit,B 3,playlist_import,,DEPI82100993,true,2002
Dance Little Birdie,De Electronica's,1980,1980,fallback,0,5WIWTRAfxVY5mvRw4cdb0c,Dance Little Birdie,De Electronica's,playlist_import,,NLA342200075,true,1980
It's a Real Good Feeling,"Peter Kent, Luisa Fernandez",2000,2000,fallback,0,3k2F7ncBMqQOwAY29KiiPF,It's a Real Good Feeling,"Peter Kent, Luisa Fernandez",playlist_import,,AUXN22294751,true,2000
Chocolate (Choco Choco) - Single Version,Soul Control,2020,2020,fallback,0,3J5F2R62SIyivGUdebjR0O,Chocolate (Choco Choco) - Single Version,Soul Control,playlist_import,,DEA312007513,true,2020
Lambada - Original Version 1989,Kaoma,1989,1989,fallback,0,6xepovPqjvrkEw9Y5AMmTm,Lambada - Original Version 1989,Kaoma,playlist_import,,FR6V89602629,true,1989
Aloha-Ahe,Freddy Quinn,2013,2013,fallback,0,6oCNhDipqAForPCDGtTBQP,Aloha-Ahe,Freddy Quinn,playlist_import,,QMDA71378219,true,2013
Nossa Nossa (Ai Se Eu Te Pego) - Single Version,Ai Se Eu Te Pego Nossa Nossa,2012,2012,fallback,0,0ZX1AU9VjSVkzb8vro8PMU,Nossa Nossa (Ai Se Eu Te Pego) - Single Version,Ai Se Eu Te Pego Nossa Nossa,playlist_import,,DEY691200102,true,2012
Zwei Mädchen aus Germany,Paul Anka,2016,1964,musicbrainz,52,4ImlIOgbZtZbhY9AUSHpGm,Zwei Mädchen aus Germany,Paul Anka,playlist_import,,DEAR41617538,true,1964
American Pie - Single Version,Don McLean,2019,1971,musicbrainz,48,6lHTt7tzOzCcVaBf1CIQfR,American Pie - Single Version,Don McLean,playlist_import,,USEM39000209,true,1971
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,2020,1977,musicbrainz,43,0qemIQjSxcKyf42VPfZnfa,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,playlist_import,,NLF057790035,true,1977
Beautiful Sunday,Daniel Boone,2013,1972,musicbrainz,41,6DqNZJ4hhBYd8qj9WbpSTJ,Beautiful Sunday,Daniel Boone,playlist_import,,USV351317686,true,1972
Funkytown,Lipps Inc.,2018,1979,musicbrainz,39,37yIrMPeJYRm7zJ8rr3Uvv,Funkytown,Lipps Inc.,playlist_import,,USPR37902457,true,1979
A Horse With No Name,America,2011,1973,musicbrainz,38,3BCSIFo2mLFFhSsg0QwpPw,A Horse With No Name,America,playlist_import,,USCGH1180340,true,1973
Heart Of Gold,Neil Young,2010,1972,musicbrainz,38,5vd1QZ0tdXOExiegC55IAS,Heart Of Gold,Neil Young,playlist_import,,USRE19900182,true,1972
La Vie en rose,Grace Jones,2015,1977,musicbrainz,38,3hpa0c7IAnst3pdnZTXGXT,La Vie en rose,Grace Jones,playlist_import,,USIR27700004,true,1977
Rock Your Baby,George McCrae,2010,1974,musicbrainz,36,6pMHMzwTsWIxLigr54GGVm,Rock Your Baby,George McCrae,playlist_import,,GBAYE7400155,true,1974
Nutbush City Limits,Ike & Tina Turner,2008,1973,musicbrainz,35,06yREZ9X92R2e9RJpdzZ2O,Nutbush City Limits,Ike & Tina Turner,playlist_import,,USEM37300029,true,1973
Radar Love,Golden Earring,2008,1973,musicbrainz,35,4Zau4QvgyxWiWQ5KQrwL43,Radar Love,Golden Earring,playlist_import,,NLC287300054,true,1973
Let The Music Play,Barry White,2009,1975,musicbrainz,34,2sR6PY1YgPZTB8hZflRbFq,Let The Music Play,Barry White,playlist_import,,USIR20200274,true,1975
Volare,Domenico Modugno,2020,1987,musicbrainz,33,71hIekopkrYCGgggsBOpVG,Volare,Domenico Modugno,playlist_import,,DETL61621179,true,1987
SOS,ABBA,2008,1975,musicbrainz,33,5pMmWfuL0FTGshYt7HVJ8P,SOS,ABBA,playlist_import,,SEAYD7501040,true,1975
Sailing,Rod Stewart,1975,2008,musicbrainz,33,6OuRbvP4PgbuzBIapVzmFJ,Sailing,Rod Stewart,playlist_import,,USWB10807925,true,1975
Wann wird's mal wieder richtig Sommer,Rudi Carrell,2007,1975,musicbrainz,32,1JViGsU8CVY7j0o4coomDA,Wann wird's mal wieder richtig Sommer,Rudi Carrell,playlist_import,,DEF457500504,true,1975
The Safety Dance,Men Without Hats,2013,1982,musicbrainz,31,5O4NFbDqJ8SOfbjnIhdPDt,The Safety Dance,Men Without Hats,playlist_import,,GBBLG0200043,true,1982
Tom's Diner,"DNA, Suzanne Vega",2021,1990,musicbrainz,31,0mFIn4etymn4sDWNrERNJh,Tom's Diner,"DNA, Suzanne Vega",playlist_import,,USAM19104303,true,1990
Vamos a la Playa - 1983,Righeira,2012,1983,musicbrainz,29,3iB7lzsBC7PdJLU9k2nttT,Vamos a la Playa - 1983,Righeira,playlist_import,,IT0728300001,true,1983
Paloma Blanca,George Baker Selection,2003,1975,musicbrainz,28,37dPgiT3cY5XFbG3Ldq7zv,Paloma Blanca,George Baker Selection,playlist_import,,NLA279500913,true,1975
Santamaria,Oliver Onions,2008,1980,musicbrainz,28,3GYdFB1UtGEqKGlf6R80Nx,Santamaria,Oliver Onions,playlist_import,,DEA370801193,true,1980
Kung Fu Fighting,Carl Douglas,2001,1974,musicbrainz,27,40NRm1ZLvZpUSCUXAGGZ8J,Kung Fu Fighting,Carl Douglas,playlist_import,,GBAJE7400014,true,1974
Live Is Life (Digitally Remastered) - Single Version,Opus,2011,1984,musicbrainz,27,5luOvrlnzfvJQdQjrScVj4,Live Is Life (Digitally Remastered) - Single Version,Opus,playlist_import,,ATX141100001,true,1984
Sunshine Reggae,Laid Back,2008,1982,musicbrainz,26,0z0JSkE5Nw3i3nin3BBSuG,Sunshine Reggae,Laid Back,playlist_import,,DKABA0002801,true,1982
