title,artist,estimated_year
Stairway to Heaven,Led Zeppelin,1971
Whole Lotta Love,Led Zeppelin,1969
Kashmir,Led Zeppelin,1975
Black Dog,Led Zeppelin,1971
Smoke on the Water,Deep Purple,1972
Highway Star,Deep Purple,1972
Child in Time,Deep Purple,1970
Paranoid,Black Sabbath,1970
Iron Man,Black Sabbath,1970
War Pigs,Black Sabbath,1970
Sweet Leaf,Black Sabbath,1971
Bohemian Like You,The Dandy Warhols,2000
Chop Suey!,System of a Down,2001
Toxicity,System of a Down,2001
B.Y.O.B.,System of a Down,2005
Aerials,System of a Down,2001
Numb,Linkin Park,2003
In the End,Linkin Park,2000
Crawling,Linkin Park,2000
Faint,Linkin Park,2003
Bring Me to Life,Evanescence,2003
My Immortal,Evanescence,2003
Going Under,Evanescence,2003
Break Stuff,Limp Bizkit,1999
Rollin',Limp Bizkit,2000
My Way,Limp Bizkit,2000
Nookie,Limp Bizkit,1999
Freak on a Leash,Korn,1998
Got the Life,Korn,1998
Falling Away from Me,Korn,1999
Here to Stay,Korn,2002
Bawitdaba,Kid Rock,1998
American Bad Ass,Kid Rock,2000
Last Resort,Papa Roach,2000
Broken Home,Papa Roach,2002
She Loves Me Not,Papa Roach,2002
Down with the Sickness,Disturbed,2000
Stupify,Disturbed,2000
Voices,Disturbed,2002
Cochise,Audioslave,2002
Like a Stone,Audioslave,2003
Show Me How to Live,Audioslave,2003
Hate to Say I Told You So,The Hives,2000
Du Hast,Rammstein,1997
Sonne,Rammstein,2001
Engel,Rammstein,1997
Du Riechst So Gut,Rammstein,1995
Hysteria,Muse,2003
Time Is Running Out,Muse,2003
Are You Gonna Be My Girl,Jet,2003
Seven Nation Army,The White Stripes,2003
Fell in Love with a Girl,The White Stripes,2001
All My Life,Foo Fighters,2002
Learn to Fly,Foo Fighters,1999
My Hero,Foo Fighters,1997
Everlong,Foo Fighters,1997
Black Hole Sun,Soundgarden,1994
Spoonman,Soundgarden,1994
Outshined,Soundgarden,1991
Alive,Pearl Jam,1991
Even Flow,Pearl Jam,1991
Jeremy,Pearl Jam,1991
Smells Like Teen Spirit,Nirvana,1991
Come as You Are,Nirvana,1991
Heart-Shaped Box,Nirvana,1993
Lithium,Nirvana,1991
Man in the Box,Alice in Chains,1990
Would?,Alice in Chains,1992
Rooster,Alice in Chains,1992
No Excuses,Alice in Chains,1994
Killing in the Name,Rage Against the Machine,1992
Bulls on Parade,Rage Against the Machine,1996
Bombtrack,Rage Against the Machine,1992
Sleep Now in the Fire,Rage Against the Machine,1999
Cult of Personality,Living Colour,1988
Smooth Criminal,Alien Ant Farm,2001
Movies,Alien Ant Farm,2001
Drowning,Crazy Town,1999
Butterfly,Crazy Town,2000
Hit That,Crazy Town,2002
Re-Education (Through Labor),Rise Against,2008
Savior,Rise Against,2008
Adrenaline,Shinedown,2003
45,Shinedown,2003
Simple Man,Shinedown,2007
Bother,Stone Sour,2002
Through Glass,Stone Sour,2006
Wait and Bleed,Slipknot,1999
Spit It Out,Slipknot,1999
