title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Hate It Or Love It,"The Game, 50 Cent",2005,2wGSgTmgSF3xjRrHkTc25R,USIR10401121,The Documentary,album,2005,206400,The Game,4,1
Liebe,Sido,2013,5cBx2v7XJSErfesDmgNtr2,DEUM71303756,30-11-80,album,2013-01-01,195416,Sido,10,1
Push It,Salt-N-Pepa,1986,6sT9MWlJManry3EQwf4V80,USIR20180482,"Hot, Cool & Vicious",album,1986-12-08,272133,Salt-N-Pepa,1,1
Suga Suga,"Baby Bash, Frankie J",2003,6Nq5lE0CeOAAAqN4qhkbZU,USUR10300765,Tha Smokin' Nephew,album,2003-01-01,239026,Baby Bash,1,1
2002,"Sido, Apache 207",2019,2u8AXJyk8pICzj2wyPBL0b,DEUM71901812,Ich & keine Maske,album,2019-09-26,237157,Sido,4,1
Strictly Business,EPMD,1988,1xZdjsAGrY4BUIbIlYy3EX,USPO18800007,Strictly Business,album,1988-06-07,285413,EPMD,1,1
Dior 2001,RIN,2018,6WusSsncC0Oo9sFHKwQii6,DEQ021803485,Planet Megatron,album,2018-08-17,192941,RIN,1,1
Ja klar - 1822 Radio Edit,"Schwester S., Sabrina Setlur, Moses Pelham, Rödelheim Hartreim Projekt",1995,0CbiLoqWTQG4TiyCizsxXd,DEP950401172,Ja klar,single,1995-02-06,188626,"Schwester S., Sabrina Setlur, Moses Pelham",1,1
You Got Me,"The Roots, Tariq Trotter, Erykah Badu, Eve",1999,4pdLZsxq0y5oJDb6Cxlokw,USMC19858697,Things Fall Apart,album,1999-02-23,259306,The Roots,15,1
Ayo Technology,"50 Cent, Justin Timberlake, Timbaland",2007,6kfQDanT6Buh4Wu73ghbav,USUM70735445,Curtis,album,2007-01-01,247946,50 Cent,7,1
Sie ist weg,Die Fantastischen Vier,1995,3rTSoSOTvOebYMy2kzKvkJ,DEE869500515,Lauschgift - Jubiläums-Edition,album,1995,232266,Die Fantastischen Vier,3,1
Live Your Life,"T.I., Rihanna",2008,3jlbL2OTD5YmIunYzgQTAN,USAT20803620,Paper Trail,album,2008-09-07,338853,T.I.,5,1
Flava in Ya Ear,Craig Mack,1994,3X414ZlCf5U7pcpIaIcUkT,USBB40581290,Project: Funk Da World,album,1994-01-01,217466,Craig Mack,5,1
Paint The Town Red,Doja Cat,2023,56y1jOTK0XSvJzVv9vHQBK,USRC12300907,Scarlet,album,2023-09-20,230466,Doja Cat,1,1
rockstar (feat. 21 Savage),"Post Malone, 21 Savage",2018,0e7ipj03S05BNilyu5bRzt,USUM71710087,beerbongs & bentleys,album,2018-04-27,218146,Post Malone,6,1
ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",2020,7ytR5pFWmSjzHJIeQkgog4,USUM72007941,BLAME IT ON BABY,album,2020-04-17,181733,DaBaby,7,1
Big Poppa - 2005 Remaster,The Notorious B.I.G.,1994,2g8HN35AnVGIk7B8yMucww,USBB40580817,Ready to Die (The Remaster),album,1994-09-13,252746,The Notorious B.I.G.,13,1
X Gon' Give It To Ya,DMX,2007,1zzxoZVylsna2BQB65Ppcb,USDJ20201342,The Definition Of X: Pick Of The Litter,compilation,2007-06-12,217586,DMX,11,1
She Will,"Lil Wayne, Drake",2011,78O33U6jbQtNiNfbkZudpd,USCM51100309,Tha Carter IV (Explicit Version),album,2011-01-01,305840,Lil Wayne,6,1
Always On Time,"Ja Rule, Ashanti",2001,2hNf1rawV2XAZ6Jld2Fxwf,USDJ20110760,Pain Is Love,album,2001-10-02,245093,Ja Rule,5,1
Heute mit mir,Nimo,2017,7fUWZUNj5qbEuoL6K9947g,DEUM71706133,K¡K¡,album,2017-06-16,221680,Nimo,5,1
Set Adrift On Memory Bliss,P.M. Dawn,1999,093UVG0vgKjxj4UDjLIulw,FR8GV1838620,Let It Flow,compilation,1999-04-23,211661,Various Artists,10,1
Full Clip,Gang Starr,1999,30oTS7bm0aH3p7lqjEIu8q,USVI29900068,Full Clip: A Decade Of Gang Starr,compilation,1999-07-13,217440,Gang Starr,2,1
m y . l i f e (with 21 Savage & Morray),"J. Cole, 21 Savage, Morray",2021,1D3z6HTiQsNmZxjl7F7eoG,QMJMT2103634,The Off-Season,album,2021-05-14,218801,J. Cole,3,1
The Humpty Dance,Digital Underground,1990,0YEC3pNS0uIKvZb5u4lgsu,USTB10300377,Sex Packets,album,1990-03-26,391693,Digital Underground,1,1
The Next Episode,"Dr. Dre, Snoop Dogg",1999,4LwU4Vp6od3Sb08CsP99GC,USIR19915078,2001,album,1999-11-16,161506,Dr. Dre,11,1
Sprinter,"Dave, Central Cee",2023,2FDTHlrBguDzQkp7PVj16Q,GBUM72305159,Sprinter,single,2023-06-01,229133,"Dave, Central Cee",1,1
Can I Kick It?,A Tribe Called Quest,1990,1gSDTZHemEViEBiXysrlo0,USJI10300400,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),album,1990,251790,A Tribe Called Quest,8,1
Weck mich auf,Samy Deluxe,2001,47VRtROAdociHgtuVZNoBL,DEA340100197,Samy Deluxe,album,2001-01-01,343226,Samy Deluxe,16,1
Airwaves,Pashanim,2020,5CqkgDH8QZjSqqI3HmYxDD,DECE72000342,Airwaves,single,2020-05-14,178932,Pashanim,1,1
Promiscuous,"Nelly Furtado, Timbaland",2006,2gam98EZKrF9XuOkU13ApN,USUM70603473,Loose,album,2006-01-01,242293,Nelly Furtado,4,1
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",2021,27NovPIUIRrOZoCHxABJwK,USSM12104539,INDUSTRY BABY (feat. Jack Harlow),single,2021-07-23,212000,"Lil Nas X, Jack Harlow",1,1
Rockit,Herbie Hancock,1983,2nWHzbBWBOePUvAImQv2So,USSM19804808,Future Shock,album,1983,328115,Herbie Hancock,1,1
