title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
I Will Survive - Single Version,Gloria Gaynor,2000,7cv28LXcjAC3GsXbUvXKbX,USPR37800083,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,compilation,2000-01-01,198066,Gloria Gaynor,11,1
The Power,SNAP!,1990,0nQLxiNGbbUoSGrxksETLm,DET189000100,World Power,album,1990-01-01,228993,SNAP!,1,1
The Boys Of Summer,Don Henley,1984,4gvea7UlDkAvsJBPZAd4oB,USGF18502601,Building The Perfect Beast,album,1984-11-19,288733,Don Henley,1,1
Itchycoo Park (Stereo Version) - 2013 Remaster,Small Faces,2014,6qo9HLauNkHByF9tqXDeNB,GBA7H1244642,There Are But Four Small Faces - Remastered with Bonus Tracks,album,2014-05-02,171101,Small Faces,1,1
Power Over Me,Dermot Kennedy,2019,3CNLrZJST54nE4PUkS83Sl,USUG11802208,Dermot Kennedy,album,2019-01-04,206960,Dermot Kennedy,1,1
No Money,Galantis,2016,0gb1J5UrTpzaU1s3nupgCd,USAT21600941,No Money,single,2016-04-01,189126,Galantis,1,1
We Be Burnin' - Legalize It,Sean Paul,2005,0NdGw6EieDYg2URPjxp3Od,USAT20502058,"We Be Burnin' (Intl 2 Track slimline/Cardboard Sleeve/7"")",single,2005-09-12,207960,Sean Paul,2,1
Shine,Aswad,2017,5jCdKF1UAVD4fqkZ9GIWTf,GBBRL0690163,Rise And Shine Again and Again (Deluxe Edition),album,2017-01-09,219133,Aswad,2,1
Flying High - Radio Mix,Captain Hollywood Project,1994,7xR6hQnqYOjpBu343MRMqa,DEMI60900107,Flying High,single,1994-11-11,226933,Captain Hollywood Project,1,1
Boogie Wonderland (with The Emotions),"Earth, Wind & Fire, The Emotions",1979,6ztstiyZL6FXzh4aG46ZPD,USSM19922860,I Am,album,1979-06,288408,"Earth, Wind & Fire",5,1
Superstition - Single Version,Stevie Wonder,2002,1h2xVEoJORqrg71HocgqXd,USMO10000310,The Definitive Collection,compilation,2002-10-29,245493,Stevie Wonder,9,1
Would I Lie To You?,Charles & Eddie,1992,3PkvYP6223QO3xlW2THd1x,USCA29200183,Duophonic,album,1992-01-01,279600,Charles & Eddie,3,1
I Should Be so Lucky,Kylie Minogue,1988,0RggFSMfsJvAsrI4itTIzr,GBBTK0900051,Kylie,album,1988-07-04,204128,Kylie Minogue,1,1
"Djobi, Djoba",Gipsy Kings,1987,2Mz7HwloqFNdA6iZeZk5PJ,GBARL0700404,Gipsy Kings,album,1987-08-24,204240,Gipsy Kings,8,1
Wonderwall,Oasis,1995,1qPbGZqppFwLwcBC1JQ6Vr,GBAAW9500189,(What's The Story) Morning Glory?,album,1995-10-02,258906,Oasis,3,1
Schüttel deinen Speck,Peter Fox,2008,4zAV2pS81cE30xhBHwG9Pf,DEA620800631,Stadtaffe,album,2008-09-26,171240,Peter Fox,11,1
Conga!,"Miami Sound Machine, Gloria Estefan",2006,0KxTWgl64TNOQXiGFJYc6t,USSM10026825,The Very Best Of Gloria Estefan (English Version),compilation,2006-09-26,252933,Gloria Estefan,19,1
Smells Like Teen Spirit,Nirvana,1991,4CeeEOM32jQcH3eN9Q2dGj,USGF19942501,Nevermind (Remastered),album,1991-09-26,301920,Nirvana,1,1
Dynamite,BTS,2020,4saklk6nie3yiGePpBwUoc,QM7282022872,BE,album,2020-11-20,199053,BTS,8,1
Keep On Running - Remastered 2010,The Spencer Davis Group,2010,45ghY6i6XTeHuOEtG1HwrQ,GBUM71002671,Revolutions: The Very Best Of Steve Winwood (Deluxe),compilation,2010-01-01,168280,Steve Winwood,1,1
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",2020,1xQ6trAsedVPCdbtDAmk0c,USSM12003798,Savage Love (Laxed - Siren Beat),single,2020-06-11,171374,"Jawsh 685, Jason Derulo",1,1
Santa's Coming for Us,Sia,2017,3AlpkljBS1AU7HFVPms8K6,USAT21704210,Everyday Is Christmas,album,2017-11-17,206533,Sia,1,1
Respect,Aretha Franklin,1967,7s25THrKz86DM225dOYwnr,USAT20801240,I Never Loved a Man the Way I Love You,album,1967-03-10,147600,Aretha Franklin,1,1
Hold My Hand,Jess Glynne,2015,1i1rNVtxbE7rdFfpHuNq2j,GBAHS1500049,Hold My Hand,single,2015-02-24,227343,Jess Glynne,1,1
Let Me Entertain You,Robbie Williams,1997,0SLtqCrXBRrnkxSOMA3X4W,GBAYE9701083,Life Thru A Lens,album,1997-01-01,262000,Robbie Williams,8,1
