title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Wann wird's mal wieder richtig Sommer,Rudi Carrell,2007,59VR9MekNIMRLxQYfSn3Qr,DEF457500504,Das Beste von Rudi Carrell,album,2007-01-27,263106,Rudi Carrell,8,1
You Can Call Me Al,Paul Simon,1986,0qxYx4F3vm1AOnfux6dDxP,USSM11002274,Graceland (25th Anniversary Deluxe Edition),album,1986-08-12,280586,Paul Simon,6,1
Start Me Up - Remastered 2009,The Rolling Stones,1981,7HKez549fwJQDzx3zLjHKC,GBUM70909474,Tattoo You (2009 Re-Mastered),album,1981-08-24,213066,The Rolling Stones,1,1
The Twist,Chubby Checker,1962,6DSvUZQdqtNfkJI4cAiUsM,USI4R0502237,Chubby Checker Classics,compilation,1962-01-01,158866,Chubby Checker,3,1
Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",2020,2pgbGOb00WrlXY3ZRFKn7v,USUM71302150,Sun and Fun,compilation,2020-07-31,263053,Various Artists,1,1
Hangover,"Taio Cruz, Flo Rida",2011,23TrBtndcavtlYBQg5GoR8,GBUM71108687,Hangover,single,2011-01-01,244506,Taio Cruz,1,1
One More Time - Radio Edit,Daft Punk,2000,2Uy6EhQXAYkXA6MohPgjpV,GBDUW0000054,One More Time,single,2000-11-13,235466,Daft Punk,1,1
China In Your Hand - Single Version,T'Pau,2005,3U9B0ZcnVPisVh9wGOg6qL,GBAAA8700001,Hits,compilation,2005-01-01,247026,T'Pau,1,1
The Best,Tina Turner,1989,6pPWRBubXOBAHnjl5ZIujB,USCA28900109,Foreign Affair,album,1989-09-13,329800,Tina Turner,2,1
The Hustle,Van McCoy & The Soul City Symphony,2007,2yDXsPUm95218qlAQfnilm,GBF087500039,Music For Partying,compilation,2007-01-01,242840,Various Artists,6,1
Piece of My Heart,Erma Franklin,2009,2GbePPrWWSRxcmW6QRSPae,USSM11100157,Erma Franklin: Piece Of Her Heart - The Epic And Shout Years,compilation,2009-02-18,157266,Erma Franklin,3,1
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,1987,7eafuv44YprITfOdzfVLoU,USBMG0100041,Dirty Dancing (Original Motion Picture Soundtrack),compilation,1987-09-24,248426,Various Artists,4,1
Karma Chameleon,Culture Club,1983,3XDeeP9wBZzGhIPZmLfEEx,GBAAA8300010,Colour By Numbers,album,1983-10-01,252760,Culture Club,1,1
99 Luftballons,Nena,1983,4ZhPLoMzZwewHLLjV1J15c,DEE868300011,Nena,album,1983-09-23,232466,Nena,6,1
Beinhart - Single Version,Torfrock,2006,2zygsl5Awjq2CuJc1L55x0,DEZ650603481,Beinhart,single,2006-07-05,198040,Torfrock,3,1
In Da Club,50 Cent,2003,7iL6o9tox1zgHpKUfh9vuC,USIR10300033,Get Rich Or Die Tryin',album,2003-02-06,193466,50 Cent,5,1
Don't Go,Yazoo,1982,5JOVSWohrjXW0BFTboh8XO,GBAJH9600227,Upstairs at Eric's,album,1982-07-01,188466,Yazoo,1,1
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,2tUBqZG2AbRi7Q0BIrVrEj,USAR18700121,Whitney,album,1987-06-02,292875,Whitney Houston,1,1
7 Years,Lukas Graham,2016,5kqIPrATaCc2LqxVWzQGbk,USWB11506516,Lukas Graham,album,2016-04-01,237300,Lukas Graham,1,1
Sugar-Baby,Peter Kraus,1989,6OnOIWxhezuZjF4APOl7oF,DEF066310300,Cadillac Night,album,1989-04-20,152533,Peter Kraus,8,1
Lean On,"Major Lazer, DJ Snake, MØ",2015,2YWjW3wwQIBLNhxWKBQd16,QMUY41500008,Peace Is The Mission : Extended,album,2015-11-27,176561,Major Lazer,4,1
Einmal um die Welt,CRO,2012,2L6hCTpUlR2p7Su3hiSB0s,DEW921100151,Raop,album,2012-07-06,142462,CRO,11,1
Ich will keine Schokolade,Trude Herr,2011,2uwDgQNRc1zS5khCPVM0jl,DEF075902660,Ich bin eine Frau von Format,compilation,2011-01-01,144200,Trude Herr,1,1
80 Millionen,Max Giesinger,2016,4EB11zPPq3jDbhnwWpzFL9,DELV41600001,"Der Junge, der rennt (Deluxe Version)",album,2016-04-08,217040,Max Giesinger,3,1
Friday I'm In Love,The Cure,1992,4QlzkaRHtU8gAdwqjWmO8n,GBALB9200002,Wish,album,1992-04-20,215160,The Cure,7,1
"What Is Love - 7"" Mix",Haddaway,1993,2IHaGyfxNoFPLJnaEg4GTs,DEA410500401,The Album,album,1993-09-13,270373,Haddaway,1,1
Auf uns,Andreas Bourani,2014,6dXt4t5jgySnVTeTpT4C0l,DEUM71400465,Hey,album,2014-01-01,240600,Andreas Bourani,3,1
Don't Stop Believin',Journey,1981,4bHsxqR3GMrXTxEPLuK5ue,USSM18100116,Escape (Bonus Track Version),album,1981,250986,Journey,1,1
Orinoco Flow,Enya,2001,0Fyj9w0HVfjoxm9S8nGClt,GBAHT8802584,"Themes From ""Calmi Cuori Appassionati""",album,2001,266226,Enya,6,1
Über den Wolken,Reinhard Mey,1983,5JSzcnZbYk3qv3nEn5Bo41,DEC649800506,Die großen Erfolge,album,1983-08-01,233133,Reinhard Mey,9,1
Rehab,Amy Winehouse,2006,3N4DI1vuTSX1tz7fa2NQZw,GBUM70603730,Back To Black (Deluxe Edition),compilation,2006,214946,Amy Winehouse,1,1
Liebeskummer lohnt sich nicht,Siw Malmkvist,2004,3DMk51IjcSdYmUT51QWfm1,SEPQD6421810,Originalinspelningar 1955-1980,compilation,2004-12-21,148840,Siw Malmkvist,81,1
You Make Me Feel (Mighty Real),Sylvester,1978,0RnCUYXa7jhgTXtiMXF2PQ,USC4R2002968,Step II,album,1978-01-01,400115,Sylvester,1,1
Sweet Home Alabama,Lynyrd Skynyrd,1974,7e89621JPkKaeDSTQ3avtg,USMC17446153,Second Helping (Expanded Edition),album,1974-04-15,283800,Lynyrd Skynyrd,1,1
He Ain't Heavy He's My Brother,The Hollies,1978,6f5sSC3ORfpUMYtE4J06VW,GBGYU6900005,20 Golden Greats,compilation,1978-07-01,258800,The Hollies,20,1
Eine neue Liebe ist wie ein neues Leben,Jürgen Marcus,2008,0oH9kW4faMsq9YgRYirgD0,DEA370803298,Das Beste mit Liebe,album,2008-10-11,229613,Jürgen Marcus,2,1
Manic Monday,The Bangles,1985,798fUF6UnRn27xiVuKyJCi,USSM10017495,Different Light,album,1985-07-17,184173,The Bangles,1,1
Paradise By the Dashboard Light,Meat Loaf,1977,2g7gviEeJr6pyxO7G35EWQ,USSM11206829,Bat Out Of Hell,album,1977-10-21,509315,Meat Loaf,6,1
Never Ending Story,Limahl,2009,1F43XlPBiwAUUIhrUGzylO,GBAYE8400104,Don't Suppose,compilation,2009-09-25,212173,Limahl,5,1
