title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Colors Of The Wind - End Title,Vanessa Williams,1995,4qjrCkcVbsYlitCqbBkeKe,USWD10110149,Pocahontas Original Soundtrack (English Version),compilation,1995-01-01,257933,Various Artists,27,1
abcdefu,GAYLE,2023,0y1mX0LxNwSMRPXWutJOJu,USAT22103652,hello this is the setlist for my tour,album,2023-11-07,168601,GAYLE,18,1
Leave (Get Out),JoJo,2004,3QigOeWryUCP56I1IlTB9x,USUYG1353158,JoJo,album,2004-06-22,242840,JoJo,7,1
Shallow - Radio Edit,"Lady Gaga, Bradley Cooper",2018,6QfS2wq5sSC1xAJCQsTSlj,USUM71815945,A Star Is Born Soundtrack (Without Dialogue),album,2018-10-05,217212,"Lady Gaga, Bradley Cooper",6,1
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1955,1uRKT2LRANv4baowBWHfDS,USMC15486163,Rock Around The Clock,album,1955-12-19,129893,Bill Haley & His Comets,1,1
"Theme From New York, New York",Frank Sinatra,1980,3QksrtI9VFCBHWA4rgvcV8,USRH10801153,"Trilogy: Past, Present & Future",album,1980-03-26,206066,Frank Sinatra,15,1
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,1967,5qyq1H5OPMlfuvZQ1wQNo7,USBWC0010022,Higher And Higher,album,1967,179120,Jackie Wilson,1,1
Sk8er Boi,Avril Lavigne,2002,00Mb3DuaIH1kjrwOku9CGU,USAR10200229,Let Go,album,2002-06-04,204000,Avril Lavigne,3,1
Knock You Down,"Keri Hilson, Kanye West, Ne-Yo",2009,3OWcWJz1c0pIc6L3IDDhpP,USUM70955396,In A Perfect World...,album,2009-01-01,326186,Keri Hilson,5,1
Can't Stay Away from You,Gloria Estefan,1987,3RVFcKmgDFuYeYIdxBXK8K,USSM18700012,Anything For You,album,1987-06-09,238293,Gloria Estefan,3,1
Sweet Child O' Mine,Guns N' Roses,1987,7o2CTH4ctstm8TNelqjb51,USGF18714809,Appetite For Destruction,album,1987-07-21,354520,Guns N' Roses,9,1
A Thousand Miles,Vanessa Carlton,2002,4w1lzcaoZ1IC2K5TwjalRP,USIR10210955,Be Not Nobody,album,2002-04-30,237493,Vanessa Carlton,3,1
Soul Man,Sam & Dave,1967,4eGHlplaq1ME8oetnTuFFf,USAT20001065,Soul Men,album,1967,159000,Sam & Dave,1,1
Leader Of The Pack,The Shangri-Las,1996,6O5PIO5pAWxdoxvaUFQ02G,USPR36402725,The Best Of The Shangri-Las,compilation,1996-01-01,171333,The Shangri-Las,2,1
Stuck,Stacie Orrico,2003,2ptt0Eftq3b2jElTRrctrT,USFF10218231,Stacie Orrico,album,2003-01-01,221586,Stacie Orrico,1,1
Stickwitu,The Pussycat Dolls,2005,2lgz3yy1AyoceOVOOBmiOS,USUM70503127,PCD,album,2005-01-01,207506,The Pussycat Dolls,4,1
Child in Time,Deep Purple,1990,21cp8L9Pei4AgysZVihjSv,GBDXG0600057,Deepest Purple: The Very Best of Deep Purple,compilation,1990-07-23,619266,Deep Purple,5,1
She Drives Me Crazy,Fine Young Cannibals,1988,4d6eqRtpDX7tydHJGDZUBQ,USRH10901907,The Raw & The Cooked,album,1988-01-01,215773,Fine Young Cannibals,1,1
Do You Know the Way to San Jose,Dionne Warwick,1968,1YIWYzMq84I46LmgX1vpye,USWSP0000033,The Valley of the Dolls,album,1968,179440,Dionne Warwick,6,1
For Your Eyes Only,Sheena Easton,1981,4jRJWlkCn3pAwezfqFODU3,USMG28100001,You Could Have Been With Me (Bonus Tracks Version),album,1981,184480,Sheena Easton,12,1
Snow (Hey Oh),Red Hot Chili Peppers,2006,2aibwv5hGXSgw7Yru8IYTO,USWB10601591,Stadium Arcadium,album,2006-05-09,334666,Red Hot Chili Peppers,2,1
Old Town Road,Lil Nas X,2019,0F7FA14euOIX8KcbEturGH,USSM11901941,7,album,2019-06-21,113000,Lil Nas X,8,1
My Old Piano,Diana Ross,1980,4d4yVNYVwxrNsy5ukJ4QTJ,USMO18090043,Diana,compilation,1980-05-22,235200,Diana Ross,6,1
Don't Stop Believin',Journey,1981,4bHsxqR3GMrXTxEPLuK5ue,USSM18100116,Escape (Bonus Track Version),album,1981,250986,Journey,1,1
Stay With Me,Sam Smith,2014,5Nm9ERjJZ5oyfXZTECKmRt,GBUM71308833,In The Lonely Hour,album,2014-05-26,172723,Sam Smith,3,1
