title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
"Słodkiego, miłego życia",Kombi,2008,3c0hQgk0PysO99s5KfRETu,PLB170702215,Nie ma zysku (The Best),album,2008-04-18,305346,Kombi,5,1
Dziewczyna Szamana,Justyna Steczkowska,2002,0KRBV74svbF62hwwriiiU9,PLA559600076,Złota Kolekcja,album,2002-03-22,232280,Justyna Steczkowska,2,1
Wehikuł Czasu / To byłby cud,Dżem,2019,2e7IOLQKBvsVLhDle9N4zo,PLB010300122,Perły z przeszłości,compilation,2019-02-22,371720,Various Artists,9,1
Małgośka,Maryla Rodowicz,2014,406CXfShfgeftnNLmJl49t,PLA391479312,Sześć Oceanów (Piosenki 1962-2013),compilation,2014-11-03,265293,Various Artists,11,3
Ritmo,Raffa Fl,2021,15223sfwoQj4IAJL8GSnfO,GBKQU2168827,Ritmo,single,2021-08-13,183810,Raffa Fl,1,1
Mi Gente - Original Mix,"J Balvin, Willy William",2017,7lHZVqUWCH19fUw0ZI2euy,FR22F1701790,Mi Gente,single,2017-06-30,189029,"J Balvin, Willy William",1,1
Human,The Killers,2008,1sTsuZTdANkiFd7T34H3nb,USUM70837367,Day & Age (Bonus Tracks),album,2008-11-18,245373,The Killers,2,1
A Wszystko To...(Bo Ciebie Kocham),Ich Troje,2003,1VYRnLcVeJdgKdbbgAG8RG,PLUM70900244,The Best Of Ich Troje Wydanie Specjalne (Vol. 2),compilation,2003-01-01,239333,Ich Troje,2,1
Prawy do lewego,"Kayah, Goran Bregović",2018,5cKwpq66r5E08Cbo67jc2I,PLA339900042,Siła polskiej muzyki - Radio Zet,compilation,2018-11-09,207586,Various Artists,26,1
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,1986,5Hyr47BBGpvOfcykSCcaw9,USSM18300449,Secret Dreams and Forbidden Fire,album,1986-05-05,348333,Bonnie Tyler,9,1
YMCA - Original Version 1978,Village People,1978,54OR1VDpfkBuOY5zZjhZAY,FR6V80878846,YMCA,album,1978-01-01,286800,Village People,1,1
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,1997,1di1BEgJYzPvXUuinsYJGP,USJI19710083,Backstreet's Back,album,1997-08-12,225360,Backstreet Boys,1,1
Teksanski,Hey,1993,1yuX7XjM3l9Gz0grQwxDIl,PLUM71000255,Fire,album,1993-02-08,161760,Hey,17,1
Ta sama chwila,Bajm,1993,1HwsyOKoHSP1VHcVC3sFhy,PLA559300022,Plomien Z Nieba,album,1993,291266,Bajm,3,1
