title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Hells Bells,AC/DC,1986,2P884dqfjksDMSzUZksfrS,AUAP08000041,Who Made Who,album,1986-05-24,313429,AC/DC,6,1
Hard To Handle,The Black Crowes,1990,05NYcsjJwOYq4jIiKPVj9p,USSM19000343,Shake Your Money Maker,album,1990-02-13,188066,The Black Crowes,6,1
Purple Rain,Prince,1984,1uvyZBs4IZYRebHIB1747m,USWB10001880,Purple Rain,album,1984-06-25,521866,Prince,9,1
Wild Thing,The Troggs,1966,7jGzYUZ2Bgg8BDfYlQRfn8,GBF086600001,From Nowhere,album,1966-07-25,155333,The Troggs,1,1
Prey,Parkway Drive,2018,7lMFAK8dv0QkWpIlZcWQlJ,USEP41712003,Reverence,album,2018-05-04,255230,Parkway Drive,2,1
Feel Invincible,Skillet,2016,0i8JFpqe9cKwnrcvoNgl1L,USAT21601370,Unleashed,album,2016-08-05,229933,Skillet,1,1
B.Y.O.B.,System Of A Down,2005,0EYOdF5FCkgOJJla8DI2Md,USSM10501327,Mezmerize,album,2005-05-17,255466,System Of A Down,2,1
Machinehead - Remastered 2014,Bush,1994,1wrhhPzd2ncJPNgUcGgBGg,QM7YK1400021,Sixteen Stone (Remastered),album,1994-12-06,256333,Bush,7,1
Basket Case,Green Day,1994,6L89mwZXSOwYl76YXfX13s,USRE19900151,Dookie,album,1994-02-01,181533,Green Day,7,1
Call Me,Blondie,1999,4qO03RMQm88DdpTJcxlglY,USCH38900008,Atomic/Atomix,compilation,1999-01-01,212600,Blondie,4,1
Sweet Home Alabama,Lynyrd Skynyrd,1974,7e89621JPkKaeDSTQ3avtg,USMC17446153,Second Helping (Expanded Edition),album,1974-04-15,283800,Lynyrd Skynyrd,1,1
Fear of the Dark - 2015 Remaster,Iron Maiden,1992,6p8eFfPw3nQkf37aT3AkmK,GBCHB1800082,Fear of the Dark (2015 Remaster),album,1992,438120,Iron Maiden,12,1
With Or Without You,U2,2006,4N0fzRX3T7QkOecp3pkWpp,GBAAN8790003,U218 Singles,compilation,2006-01-01,296226,U2,5,1
Just Like Heaven - Remastered 2006,The Cure,1987,4NnWuGQujzWUEg0uZokO5M,GBALB8700003,Kiss Me Kiss Me Kiss Me (Remastered 2006),album,1987-05-26,212013,The Cure,9,1
Champagne Supernova,Oasis,1995,6EMynpZ10GVcwVqiLZj6Ye,GBAAW9500197,(What's The Story) Morning Glory?,album,1995-10-02,450506,Oasis,12,1
Psychosocial,Slipknot,2008,3RAFcUBrCNaboRXoP3S5t1,NLA320886993,All Hope Is Gone (10th Anniversary),album,2008-08-20,284120,Slipknot,4,1
(I Just) Died In Your Arms,Cutting Crew,1986,4ByEFOBuLXpCqvO1kw8Wdm,GBAAA8600046,Broadcast,album,1986-01-01,280400,Cutting Crew,6,1
Give It Away,Red Hot Chili Peppers,1991,0uppYCG86ajpV2hSR3dJJ0,USWB19901574,Blood Sugar Sex Magik (Deluxe Edition),album,1991-09-24,282906,Red Hot Chili Peppers,9,1
bloody valentine,mgk,2020,6mADjHs6FXdroPzEGW6KVJ,USUM72005714,Tickets To My Downfall,album,2020-09-25,205158,mgk,4,1
My Generation,The Who,1965,2EMmHEhCZSMMEM85HTFJvj,GBAKW6500004,My Generation (50th Anniversary / Super Deluxe),album,1965-12-03,200173,The Who,6,1
Panic,From Ashes to New,2020,7mUaGkK1gMEuo3IUWCqF0P,USDPK2000008,Panic,album,2020-08-28,200800,From Ashes to New,6,1
Highway Tune,Greta Van Fleet,2017,7aOor99o8NNLZYElOXlBG1,USUM71702892,From The Fires,album,2017-11-10,180640,Greta Van Fleet,5,1
Sunshine Of Your Love,Cream,1967,6FRwDxXsvSasw0y2eDArsz,GBA076700020,Disraeli Gears,album,1967-11-02,250000,Cream,2,1
Drop Dead Cynical,Amaranthe,2014,3X1usZ9bRwbyEjAnkLAJWO,FIUM71400483,MASSIVE ADDICTIVE,album,2014-10-17,197866,Amaranthe,2,1
Semi-Charmed Life,Third Eye Blind,1997,42et6fnHCw1HIPSrdPprMl,USEE19701203,Third Eye Blind,album,1997-04-08,268360,Third Eye Blind,3,1
What's My Age Again?,blink-182,1999,4LJhJ6DQS7NwE7UKtvcM52,USMC19959007,Enema Of The State,album,1999-06-01,148360,blink-182,5,1
Another Life,Motionless In White,2019,0YZEYxd1oiqZRFhnnmTKKi,NLA321900085,Disguise,album,2019-06-07,205394,Motionless In White,8,1
Round and Round,Ratt,1984,57P8gH8rjt4OqEoqzut1bL,USAT29900560,The Essentials: Ratt,album,1984,265893,Ratt,1,1
My Curse,Killswitch Engage,2007,6zKF4293k44ItKWJJgrhXv,NLA320682675,As Daylight Dies (Special Edition),album,2007-02-06,244773,Killswitch Engage,5,1
My Sharona,The Knack,1979,1HOMkjp0nHMaTnfAkslCQj,USCA28900153,Get The Knack,album,1979-01-01,295400,The Knack,7,1
Satellite,Rise Against,2011,5sG3G54H21hNfd5etlheoe,USUM71101043,Endgame,album,2011-01-01,238573,Rise Against,5,1
Stairway to Heaven - Remaster,Led Zeppelin,1971,5CQ30WqJwcep0pYcV4AMNc,USAT21300959,Led Zeppelin IV (Deluxe Edition),album,1971-11-08,482830,Led Zeppelin,4,1
Owner of a Lonely Heart,Yes,1983,0GTK6TesV108Jj5D3MHsYb,USAT20702539,90125 (Deluxe Version),album,1983-06-01,268506,Yes,1,1
Don't Bring Me Down,Electric Light Orchestra,1979,72ahyckBJfTigJCFCviVN7,USSM10015734,Discovery,album,1979-05-31,243132,Electric Light Orchestra,9,1
Cherry Bomb,The Runaways,1976,7cdnq45E9aP2XDStHg5vd7,USIR20200576,The Runaways,album,1976,138706,The Runaways,1,1
Holy Diver,Dio,1983,54yLLvpezvPO1lA3GspiZj,NLF050390016,Holy Diver,album,1983,340640,Dio,2,1
November Rain,Guns N' Roses,1991,3YRCqOhFifThpSRFJ1VWFM,USGF19141510,Use Your Illusion I,album,1991-09-17,536066,Guns N' Roses,10,1
The Trooper - 2015 Remaster,Iron Maiden,1983,4OROzZUy6gOWN4UGQVaZMF,GBCHB1800032,Piece of Mind (2015 Remaster),album,1983,252733,Iron Maiden,5,1
Kickstart My Heart,Mötley Crüe,1989,4Yqy0GpeDEXLibWJCZyQew,USBY29900215,Dr. Feelgood,album,1989-09-02,282653,Mötley Crüe,5,1
Masterpiece,Motionless In White,2022,3c9kVsKF68xMzlS0NikVn3,NLA322200040,Scoring The End Of The World,album,2022-06-10,206648,Motionless In White,6,1
Bulls On Parade,Rage Against The Machine,1996,0tZ3mElWcr74OOhKEiNz1x,USSM19502563,Evil Empire,album,1996-04-16,229466,Rage Against The Machine,2,1
Come As You Are,Nirvana,1991,2RsAajgo0g7bMCHxwH3Sk0,USGF19942503,Nevermind (Remastered),album,1991-09-26,218920,Nirvana,3,1
Born in the U.S.A.,Bruce Springsteen,1984,0dOg1ySSI7NkpAe89Zo0b9,USSM18400406,Born In The U.S.A.,album,1984-06-04,279786,Bruce Springsteen,1,1
Fat Lip,Sum 41,2001,4KacUpvbA3Mfo05gttTjhN,USIR20110124,"All Killer, No Filler",album,2001-01-01,178266,Sum 41,4,1
Get It On,T. Rex,1971,0LoQuiekvzqx7n8flgEKzF,GBCHM7100038,Electric Warrior,compilation,1971-09-24,262613,T. Rex,6,1
Misery Business,Paramore,2007,3l9CW99AHtExIRV4hW2N5m,USAT20702617,Riot!,album,2007-06-12,211520,Paramore,4,1
The Passenger,Iggy Pop,1977,15BQ7vEDv2LJuh8TxWIhtd,USVI20700278,Lust For Life,album,1977-08-29,283360,Iggy Pop,4,1
Hate To Say I Told You So,The Hives,2000,20j7B6mL9gnNvG3ic6Vwh5,SEVHC0007060,Veni Vidi Vicious,album,2000-09-12,200693,The Hives,6,1
Silent Lucidity - Remastered 2003,Queensrÿche,1990,6OSyCAmXT4Gkd3OQ2aPOaF,USEM30200450,Empire - 20th Anniversary Edition,compilation,1990,347760,Queensrÿche,8,1
Savior,Rise Against,2008,1vcxF91pWs9uNwDROuiCPB,USUM70832584,Appeal To Reason,album,2008-01-01,242280,Rise Against,11,1
Tutti Frutti,Little Richard,1957,2iXcvnD3d1gfLBum0cE5Eg,USC4R1100478,Here's Little Richard (Deluxe Edition),album,1957-03,144226,Little Richard,1,1
We Got the Moves,Electric Callboy,2021,4EFb9FhLyFiDbYKwBwDZre,GBDHC2227201,We Got the Moves,single,2021-09-03,206858,Electric Callboy,1,1
Rose Tattoo,Dropkick Murphys,2013,3j5QcKYJ836ZBbcj1OoEod,USK251300003,Signed and Sealed In Blood,album,2013-01-07,306520,Dropkick Murphys,3,1
I Love Rock 'N Roll,Joan Jett & the Blackhearts,1981,2Cdvbe2G4hZsnhNMKyGrie,USBH18100118,I Love Rock 'N' Roll (Expanded Edition),album,1981-11-18,175173,Joan Jett & the Blackhearts,1,1
La Grange,ZZ Top,2022,2YgjwTiG85B2tvqmdRNpba,QMRSZ2200138,RAW (‘That Little Ol' Band From Texas’ Original Soundtrack),album,2022-07-22,281586,ZZ Top,4,1
Supermassive Black Hole,Muse,2006,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593,Black Holes and Revelations,album,2006-06-28,212439,Muse,3,1
Celebrity Skin,Hole,1998,2V4Bc2I962j7acQj1N0PiQ,USGF19816401,Celebrity Skin,album,1998-01-01,162666,Hole,1,1
Square Hammer,Ghost,2016,5TNhjanmvwvmjCz2WYwSAv,USC4R1601938,Meliora (Deluxe Edition),album,2016-09-16,239293,Ghost,1,2
Rollin' (Air Raid Vehicle),Limp Bizkit,2000,3IV4swNduIRunHREK80owz,USIR10001170,Chocolate Starfish And The Hot Dog Flavored Water,album,2000-10-17,213760,Limp Bizkit,6,1
Alone In A Room,Asking Alexandria,2017,5Gw8owErJLfkNxWCSwPQKJ,USYFZ1791001,Asking Alexandria,album,2017-12-15,245861,Asking Alexandria,1,1
Go Your Own Way,Fleetwood Mac,1988,15rjQH7nTcTomKwfVMd4xl,USWB19900181,Greatest Hits,compilation,1988-11-22,218400,Fleetwood Mac,3,1
American Woman,The Guess Who,2012,3QKGkxQnLTo3FWUTNJZlYH,GBQRF1113026,American Woman,album,2012-03-06,231835,The Guess Who,1,1
Heat Of The Moment,Asia,1982,1nmZ8yqKkfooOuYvtFctDp,USGF18200801,Asia,album,1982-03-08,227893,Asia,1,1
Juke Box Hero,Foreigner,1981,00qOE7OjRl0BpYiCiweZB2,USAT20803006,4 (Expanded),album,1981,259799,Foreigner,2,1
The Devil's Bleeding Crown,Volbeat,2016,3TjQAc2PzWzlSDrnq61J1y,DKNE11600101,Seal The Deal & Let's Boogie (Deluxe),album,2016-06-03,238653,Volbeat,1,1
Songs für Liam,Kraftklub,2012,2isyujVLDSr4lYhIo7qCRw,DEUM71104128,Mit K,album,2012-01-01,193973,Kraftklub,7,1
Chop Suey!,System Of A Down,2001,2DlHlPMa4M17kufBvI2lEN,USSM10107256,Toxicity,album,2001-09-04,210240,System Of A Down,6,1
Schrei nach Liebe,Die Ärzte,1993,4P4PHxZQ1FcwQKKnfEPsAZ,DEZ650506930,Die Bestie in Menschengestalt,album,1993-10-04,252600,Die Ärzte,2,1
Teenage Dirtbag,Wheatus,2000,3LI4MmibTkXH5cGpCGZgyw,USSM10008431,"Songs From Dawson's Creek, Vol. II",compilation,2000-09-29,241666,Various Artists,10,1
Here I Go Again,Whitesnake,1994,1tQ5TSr1tyeQUbHKBee0jv,GB01A8700011,Whitesnake's Greatest Hits,compilation,1994-07-04,232800,Whitesnake,2,1
Hail to the King,Avenged Sevenfold,2013,5anCkDvJ17aznvK5TED5uo,USWB11302191,Hail to the King,album,2013-08-20,305906,Avenged Sevenfold,2,1
Sleepwalking,Bring Me The Horizon,2013,0gchQwxmBWj5no8NJ8b2yH,GBARL1202418,Sempiternal (Expanded Edition),album,2013-04-01,230090,Bring Me The Horizon,4,1
Eye of the Tiger,Survivor,1982,2HHtWyy5CgaQbC7XSoOb0e,USVR19300001,Eye Of The Tiger,album,1982,243773,Survivor,1,1
"Oh, Pretty Woman",Roy Orbison,2006,52HAHV1j93s5B8GoTNI7DJ,USSM16401575,The Essential Roy Orbison,compilation,2006-03-28,176933,Roy Orbison,21,1
The Final Countdown,Europe,1986,3MrRksHupTVEQ7YbA0FsZK,USSM18600196,The Final Countdown (Expanded Edition),album,1986,310333,Europe,1,1
Rock Around The Clock,Bill Haley & His Comets,1968,34AmZ4PMz9iNZVp9AMIGZj,SEBFO6804010,Biggest Hits,compilation,1968-01-01,137000,Bill Haley & His Comets,1,1
Death by Rock and Roll,The Pretty Reckless,2021,18DJQsejI5e1ZwO2wyuP2g,US5262023639,Death by Rock and Roll,album,2021-02-12,234476,The Pretty Reckless,1,1
Interstate Love Song,Stone Temple Pilots,2003,600s08VdbjiyAjDGDjYSFI,USAT20181162,Thank You,compilation,2003-11-10,193613,Stone Temple Pilots,10,1
No One Like You,Scorpions,2011,5hVepr5CHiTGtJY5bP4i5n,DEE861101518,Comeblack,album,2011-11-07,246533,Scorpions,2,1
Balls to the Wall,Accept,1983,28sMmBCmfHoy6NjZnovEYG,USSM18400165,Balls To The Wall,album,1983,342600,Accept,1,1
Carry on Wayward Son,Kansas,1976,4DMKwE2E2iYDKY01C335Uw,USSM17600874,Leftoverture (Expanded Edition),album,1976,323000,Kansas,1,1
Welcome to the Black Parade,My Chemical Romance,2006,5wQnmLuC1W7ATsArWACrgW,USRE10602613,The Black Parade,album,2006-10-20,311106,My Chemical Romance,5,1
Maybellene,Chuck Berry,1959,3SQhmctWreNM0X6Zkm2K5R,USMC15519962,Berry Is On Top,album,1959-07-01,143240,Chuck Berry,3,1
I Hate Myself for Loving You,Joan Jett & the Blackhearts,1988,2HXixVqzzm9rEUIMAWzshl,USSM10021818,Up Your Alley,album,1988-05-23,246800,Joan Jett & the Blackhearts,1,1
Animals,Architects,2021,5ofoB8PFmocBXFBEWVb6Vz,USEP42058010,For Those That Wish To Exist,album,2021-02-26,244364,Architects,10,1
I Will Not Bow,Breaking Benjamin,2009,2yXyz4NLTZx9CLdXfLTp5E,USHR10924529,Dear Agony,album,2009-01-01,216733,Breaking Benjamin,2,1
Freak On a Leash,Korn,1998,6W21LNLz9Sw7sUSNWMSHRu,USSM19801755,Follow The Leader,album,1998-08-18,255729,Korn,2,1
Dance Macabre,Ghost,2018,4pIKFpwflOdhYNIRmPTj3E,USC4R1802371,Prequelle,album,2018-06-01,219720,Ghost,6,1
What I Got,Sublime,1996,3B4q6KbHbGV51HO3GznBFF,USGA19649251,Sublime,album,1996-07-30,170906,Sublime,2,1
Wake up Little Susie,The Everly Brothers,1964,11fNLqDB47gMKj7BHhR2Qr,USWB19903263,The Very Best of The Everly Brothers,compilation,1964-08-01,123520,The Everly Brothers,3,1
I Wanna Rock,Twisted Sister,1984,70Z9t1qhytWtG4cCmmi7mU,USAT20000551,Stay Hungry,album,1984-05-10,179760,Twisted Sister,5,1
Black Hole Sun,Soundgarden,1994,2EoOZnxNgtmZaD8uUmz2nD,USAM19400007,Superunknown (Deluxe Edition),compilation,1994-03-09,318586,Soundgarden,7,1
Bad Medicine,Bon Jovi,1988,72hcFp4tYkd3dbNA9dZ3Pv,USPR39402228,New Jersey (Deluxe Edition),album,1988-09-13,316706,Bon Jovi,2,1
