title,artist,estimated_year,spotify_track_id,isrc
"Heute male ich dein Bild, Cindy Lou (The Birds and the Bees)",Drafi Deutscher,1987,6S0Y6EQoeWX8sh3iydAUN5,DEA619362520
Aloha Heja He,Achim Reichel,1991,3AQLL3Waks6LJ9FI8TFHGA,DEAQ99102105
Herz auf rot,G.G. Anderson,2003,2nRvwfAs9iTfxvUNHWcJNL,DEN120302106
Sternenregen,Thomas Anders,2017,7g3M5euTiBBoTJ9bQ12tYr,DEA621700296
Das Lied der Schlümpfe,Vader Abraham,1978,0mwDB1nJ18ln9zoO4bkrOt,NLE320900146
Jenseits von Eden - Single Version,Nino de Angelo,1995,3oS0q79t6MUPzkKv8ykMcO,DEF068303200
Die Hände Zum Himmel,Die Kolibris,2010,6NvKqGgbYwbqWRVyIdZjGR,DEN199911001
So wie man tanzt so liebt man,Maite Kelly,2011,4geRKNmqbOSJc1GvweEAUK,DEUM71102480
Ich lass' nur noch Sonne in mein Herz,Liane,2014,0MGLXSJHMO1IY0LiQKYR5i,DEQS91300528
Schönes Mädchen aus Arcadia,Demis Roussos,2000,02NKTxBbcbauX1saQ6Vlcm,DEF077302780
Ich will dich immer noch,Matthias Reim,2007,0YMzG6R5oOEuQiKmyu72JN,DEC610700606
I steh auf Bergbauernbuam,Melissa Naschenweng,2019,1waQTvOWV18qC4qEyo9pGu,ATB151801120
Welch ein Tag,Mario Jordan,1992,1wNXkEKCcspETALfsr7GvN,DEC719200242
Mama Laudaaa,"Almklausi, Specktakel",2018,1RcWWgnw5fVm3wcNq11zBu,DEEQ81800005
"Frankreich, Frankreich",Bläck Fööss,1997,5ZC4HBv4CnBuppLIycGJIq,DEA348500394
Ich Bin Da,Jan Smit,2013,3Wc1b0B74Xw65k5paLxFzu,NLUR61300041
Heute fährt die 18 bis nach Istanbul,Jürgen Milski,2005,1dv17FKzaL1rXrZbtoESBJ,DEEQ80400002
Der Eiermann,Klaus & Klaus,1988,6aUN5gXfkXKl4GBiVTLLZI,DEZ650603633
Zu nah am Feuer,"Stefan Waggershausen, Alice",2003,1M3nns66BR1nO4IJiMzuwF,DEM590700410
Hier spricht die Polizei,Sandy Wagner,2002,3DelaacjOD7LpDygDydl9L,DEA760202701
Kettenkarussell,Ross Antony,2013,3UeKTVMcnZbpOfR3OVF9D1,DEQS91300376
Schlager ist nicht kriminell,Rebel Tell,2022,02L6Gd6M9LaBxaSeum3bwV,DEQS92200677
Su Mädche wie mir - Zwei Kerle wie wir (Orginal),Colör,2001,4WLKnFCLxcK0Wtx7T8FDIQ,DEC680001607
Der Kommissar,Falco,1982,3TBRJsLCcwroEkA3tD4u2N,ATB158200018
Dein Zug ist abgefahr’n,Nico Gemba,2007,5lo52acOaW0GDQYrhZwzoS,DEE240600001
Mein lieber Mann,Hanne Haller,2001,07gDofsPhMYgXz6zNbCuaI,DEF088925620
Codo (...düse im Sauseschritt),Döf,2009,5qvdVmvmbMGWMcmZ60vlPu,ATB158300073
"Du bist alles (Maria, Maria) (You Want Love) - Original",Andreas Martin,2011,32hWGHVUBskZ1sr49ecbEg,DEA348700350
Verliab di,Trenkwalder,2003,4wWCfdkg0aWAwXZNs9qpoa,DEA810001036
1000 Träume weit (Tornero),Anna-Maria Zimmermann,2010,1fE2zhbqWBo0DgAJmHEVx2,DEC610900439
Zeit zu gehen,Unheilig,2014,0sKIlIyuCtb59r8MYmB2cb,DEUM71403323
Ich will dich für immer - Disco Fox,NIC,2008,2HhKDdGjgXC4vyDOmtwzNP,DEC610701240
Steirermen San Very Good,Das Stoakogler Trio,2008,2HclOVB5b88sN0Ac2mnNCb,ATB159200017
Irgendwie Wird's Schon Geh'n - Remastered 2003,Tom Astor,2014,0MOVuqZgdwYdJiOFv3hyhz,DEA340300741
Die Pure Lust am Leben,Geier Sturzflug,2005,1lqS2d1wKlz4jGWtz6nZ2V,DEG419900697
Sind Sie der Graf von Luxemburg?,Dorthe,1968,2jvPETfvUp63D05WMRR5lV,DEF076702790
Weekend,"DJ Herzbeat, Sarah Engels",2020,0yrZHjRVqkajH9xePjFI1C,DEUM71806748
Du mußt deinen Weg alleine gehen,Dirk Busch,1999,7ljqYQ9je16MNSaWg4shQy,DEA309783490
Nein heißt ja,G.G. Anderson,2002,38weYqkGVSMsZqPfV1Epuc,DEA600000415
"Oh, wann kommst du?",Daliah Lavi,1970,0sckKnlXr0nV9zYfLDmUuF,DEF067003190
Gold,Jasmin Wagner,2021,7iwZxTPvg1h5rYmmwEd8GI,DEUV42100029
Paradies - Single Mix,Francine Jordi,2015,4uUdr8JGDWyFe8N8GaJYmS,DEOS71500042
Das Kann Nur Liebe Sein (En Vän Som Du),Vikinger,2008,0UsS9sFnIaMMHLox3lP6NB,SEAMA0700936
Die Immer Lacht,"Stereoact, Kerstin Ott",2016,2mnQXxj6keAVaqa5FpoDSk,DEY201500094
Ich kauf' mir lieber einen Tirolerhut,Billy Mo,2016,1v207ZF2NQmkp1bp6ehphg,DER751646909
Wenn ich nur ein Trucker wär,"Gunter Gabriel, Linda Feller",1996,16eKf9DcgwytudS5LUDogC,DEA609600039
Engel,Nino de Angelo,2001,2A8aopZvdCJ9yYoZLt6TqN,DEE860100173
Hör gut zu,Pur,2015,1SqipU2h7pOMZd4ynckn6k,DEA349302121
Eine Nacht,Ramon Roselly,2020,7AgLXVsuToMUB8BlPdiWxr,DEUM72001399
"Erst du, dann du",Stefanie Hertel,2009,05FFPLWGCJ2rGrwwTxjE9x,DEF450429504
Wenn i mit dir tanz - Edit,Nicki,2004,1UYWocoT1yNBAedYF7UBZw,DEG128600103
Barfuß bis ans Ende der Welt,Fernando Express,2005,4mlWlvWRvvnemGaIlnTF4e,DEN120504592
