title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
"Heute male ich dein Bild, Cindy Lou (The Birds and the Bees)",Drafi Deutscher,1987,6S0Y6EQoeWX8sh3iydAUN5,DEA619362520,Drafi!,album,1987-05-01,125426,Drafi Deutscher,1,1
Aloha Heja He,Achim Reichel,1991,3AQLL3Waks6LJ9FI8TFHGA,DEAQ99102105,Melancholie und Sturmflut (Bonus Tracks Edition),album,1991-01-01,243146,Achim Reichel,5,1
Herz auf rot,G.G. Anderson,2003,2nRvwfAs9iTfxvUNHWcJNL,DEN120302106,Herz Auf Rot,album,2003-01-01,198600,G.G. Anderson,1,1
Sternenregen,Thomas Anders,2017,7g3M5euTiBBoTJ9bQ12tYr,DEA621700296,Pures Leben,album,2017-04-07,222268,Thomas Anders,2,1
Das Lied der Schlümpfe,Vader Abraham,1978,0mwDB1nJ18ln9zoO4bkrOt,NLE320900146,Im Land der Schlümpfe,album,1978-10-10,244734,Vader Abraham,6,1
Jenseits von Eden - Single Version,Nino de Angelo,1995,3oS0q79t6MUPzkKv8ykMcO,DEF068303200,Die Grössten Hits,compilation,1995-01-01,231840,Nino de Angelo,5,1
Die Hände Zum Himmel,Die Kolibris,2010,6NvKqGgbYwbqWRVyIdZjGR,DEN199911001,"Hände Gut, Alles Gut",album,2010-08-01,176822,Die Kolibris,5,1
So wie man tanzt so liebt man,Maite Kelly,2011,4geRKNmqbOSJc1GvweEAUK,DEUM71102480,Das volle Programm,album,2011-01-01,178013,Maite Kelly,1,1
Ich lass' nur noch Sonne in mein Herz,Liane,2014,0MGLXSJHMO1IY0LiQKYR5i,DEQS91300528,Frei sein,album,2014-05-08,205480,Liane,5,1
Schönes Mädchen aus Arcadia,Demis Roussos,2000,02NKTxBbcbauX1saQ6Vlcm,DEF077302780,"Goodbye, My Love, Goodbye",compilation,2000-01-01,203733,Demis Roussos,10,1
Ich will dich immer noch,Matthias Reim,2007,0YMzG6R5oOEuQiKmyu72JN,DEC610700606,Männer Sind Krieger,album,2007-01-01,213093,Matthias Reim,2,1
I steh auf Bergbauernbuam,Melissa Naschenweng,2019,1waQTvOWV18qC4qEyo9pGu,ATB151801120,Wirbelwind,album,2019-01-11,181475,Melissa Naschenweng,7,1
Welch ein Tag,Mario Jordan,1992,1wNXkEKCcspETALfsr7GvN,DEC719200242,Welch ein Tag,album,1992-02-26,239466,Mario Jordan,1,1
Mama Laudaaa,"Almklausi, Specktakel",2018,1RcWWgnw5fVm3wcNq11zBu,DEEQ81800005,Mama Laudaaa,single,2018-02-07,215976,"Almklausi, Specktakel",1,1
"Frankreich, Frankreich",Bläck Fööss,1997,5ZC4HBv4CnBuppLIycGJIq,DEA348500394,Premium Gold Collection,compilation,1997-01-01,258466,Bläck Fööss,16,1
Ich Bin Da,Jan Smit,2013,3Wc1b0B74Xw65k5paLxFzu,NLUR61300041,Ich Bin Da,album,2013-06-28,214386,Jan Smit,4,1
Heute fährt die 18 bis nach Istanbul,Jürgen Milski,2005,1dv17FKzaL1rXrZbtoESBJ,DEEQ80400002,Heute fährt die 18 bis nach Istanbul,single,2005-11-24,170026,Jürgen Milski,1,1
Der Eiermann,Klaus & Klaus,1988,6aUN5gXfkXKl4GBiVTLLZI,DEZ650603633,Ach Du Dickes Ei,album,1988,221426,Klaus & Klaus,1,1
Zu nah am Feuer,"Stefan Waggershausen, Alice",2003,1M3nns66BR1nO4IJiMzuwF,DEM590700410,Duette und Balladen,album,2003-03-24,282666,Stefan Waggershausen,5,1
Hier spricht die Polizei,Sandy Wagner,2002,3DelaacjOD7LpDygDydl9L,DEA760202701,Wilde Zeiten,album,2002-10-28,183653,Sandy Wagner,8,1
Kettenkarussell,Ross Antony,2013,3UeKTVMcnZbpOfR3OVF9D1,DEQS91300376,Meine neue Liebe,album,2013-06-27,218573,Ross Antony,4,1
Schlager ist nicht kriminell,Rebel Tell,2022,02L6Gd6M9LaBxaSeum3bwV,DEQS92200677,Schlager ist nicht kriminell,album,2022-07-15,145453,Rebel Tell,1,1
Su Mädche wie mir - Zwei Kerle wie wir (Orginal),Colör,2001,4WLKnFCLxcK0Wtx7T8FDIQ,DEC680001607,"Gestatten, Colör",album,2001-12-02,180426,Colör,5,1
Der Kommissar,Falco,1982,3TBRJsLCcwroEkA3tD4u2N,ATB158200018,Einzelhaft,album,1982-02-19,232587,Falco,2,1
Dein Zug ist abgefahr’n,Nico Gemba,2007,5lo52acOaW0GDQYrhZwzoS,DEE240600001,König der Piraten,album,2007-03-13,299226,Nico Gemba,4,1
Mein lieber Mann,Hanne Haller,2001,07gDofsPhMYgXz6zNbCuaI,DEF088925620,Ihre größten Erfolge,compilation,2001-01-01,253746,Hanne Haller,1,1
Codo (...düse im Sauseschritt),Döf,2009,5qvdVmvmbMGWMcmZ60vlPu,ATB158300073,Die NDW Hits - Das beste aus 40 Jahren Hitparade,compilation,2009-02-19,264533,Various Artists,8,1
"Du bist alles (Maria, Maria) (You Want Love) - Original",Andreas Martin,2011,32hWGHVUBskZ1sr49ecbEg,DEA348700350,Andreas Martin - All The Best,compilation,2011-01-01,238520,Andreas Martin,1,2
Verliab di,Trenkwalder,2003,4wWCfdkg0aWAwXZNs9qpoa,DEA810001036,Cafe Toscana,album,2003-01-13,251933,Trenkwalder,17,1
1000 Träume weit (Tornero),Anna-Maria Zimmermann,2010,1fE2zhbqWBo0DgAJmHEVx2,DEC610900439,Hurra Wir Leben Noch,single,2010-01-01,253346,Anna-Maria Zimmermann,2,1
Zeit zu gehen,Unheilig,2014,0sKIlIyuCtb59r8MYmB2cb,DEUM71403323,Gipfelstürmer,album,2014-12-12,250986,Unheilig,3,1
Ich will dich für immer - Disco Fox,NIC,2008,2HhKDdGjgXC4vyDOmtwzNP,DEC610701240,Küss Mich,album,2008-01-01,215413,NIC,4,1
Steirermen San Very Good,Das Stoakogler Trio,2008,2HclOVB5b88sN0Ac2mnNCb,ATB159200017,40 Goldene Jahre,album,2008-01-01,148600,Die Stoakogler,10,1
Irgendwie Wird's Schon Geh'n - Remastered 2003,Tom Astor,2014,0MOVuqZgdwYdJiOFv3hyhz,DEA340300741,Glanzlichter,compilation,2014-01-01,218573,Tom Astor,8,1
Die Pure Lust am Leben,Geier Sturzflug,2005,1lqS2d1wKlz4jGWtz6nZ2V,DEG419900697,Die Geier fliegen tief!,album,2005-05-31,215186,Geier Sturzflug,2,1
Sind Sie der Graf von Luxemburg?,Dorthe,1968,2jvPETfvUp63D05WMRR5lV,DEF076702790,Wärst Du doch in Düsseldorf geblieben (Originale),compilation,1968-01-01,171613,Dorthe,1,1
Weekend,"DJ Herzbeat, Sarah Engels",2020,0yrZHjRVqkajH9xePjFI1C,DEUM71806748,Dancefieber,album,2020-06-12,171733,DJ Herzbeat,1,1
Du mußt deinen Weg alleine gehen,Dirk Busch,1999,7ljqYQ9je16MNSaWg4shQy,DEA309783490,Es geht doch,album,1999-04-12,253373,Dirk Busch,14,1
Nein heißt ja,G.G. Anderson,2002,38weYqkGVSMsZqPfV1Epuc,DEA600000415,Dafür leb ich - Das Allerbeste,compilation,2002-01-01,195026,G.G. Anderson,3,1
"Oh, wann kommst du?",Daliah Lavi,1970,0sckKnlXr0nV9zYfLDmUuF,DEF067003190,Liebeslied jener Sommernacht (Originale),album,1970-01-01,202493,Daliah Lavi,1,1
Gold,Jasmin Wagner,2021,7iwZxTPvg1h5rYmmwEd8GI,DEUV42100029,Von Herzen,album,2021-07-23,210946,Jasmin Wagner,1,1
Paradies - Single Mix,Francine Jordi,2015,4uUdr8JGDWyFe8N8GaJYmS,DEOS71500042,Wir,album,2015-09-01,194346,Francine Jordi,1,1
Das Kann Nur Liebe Sein (En Vän Som Du),Vikinger,2008,0UsS9sFnIaMMHLox3lP6NB,SEAMA0700936,Gute Laune Hits,compilation,2008-01-01,199293,Various Artists,12,1
Die Immer Lacht,"Stereoact, Kerstin Ott",2016,2mnQXxj6keAVaqa5FpoDSk,DEY201500094,Die Immer Lacht,single,2016-03-21,244596,Stereoact,3,1
Ich kauf' mir lieber einen Tirolerhut,Billy Mo,2016,1v207ZF2NQmkp1bp6ehphg,DER751646909,O’zapft is! - Die schönsten Volksfest-Hits der 50er & 60er Jahre,compilation,2016-08-07,147133,Various Artists,9,1
Wenn ich nur ein Trucker wär,"Gunter Gabriel, Linda Feller",1996,16eKf9DcgwytudS5LUDogC,DEA609600039,Dieselknechte,album,1996-01-01,321160,Gunter Gabriel,9,1
Engel,Nino de Angelo,2001,2A8aopZvdCJ9yYoZLt6TqN,DEE860100173,Engel,single,2001-09-16,254000,Nino de Angelo,3,1
Hör gut zu,Pur,2015,1SqipU2h7pOMZd4ynckn6k,DEA349302121,Hits Pur - 20 Jahre Eine Band (Fan Edition),compilation,2015-05-15,257839,Pur,13,1
Eine Nacht,Ramon Roselly,2020,7AgLXVsuToMUB8BlPdiWxr,DEUM72001399,Herzenssache,album,2020-04-09,211440,Ramon Roselly,4,1
"Erst du, dann du",Stefanie Hertel,2009,05FFPLWGCJ2rGrwwTxjE9x,DEF450429504,"Lieder, die von Herzen kommen",album,2009-07-23,224002,Stefanie Hertel,6,4
Wenn i mit dir tanz - Edit,Nicki,2004,1UYWocoT1yNBAedYF7UBZw,DEG128600103,Essential,compilation,2004-01-01,214626,Nicki,8,1
Barfuß bis ans Ende der Welt,Fernando Express,2005,4mlWlvWRvvnemGaIlnTF4e,DEN120504592,Urlaub für die Seele,album,2005-01-01,216640,Fernando Express,1,1
Tanz mit mir durch die Nacht,Freddy Breck,2010,4isdtsKAS5AG2RQt3jQ7hb,DEHZ20900545,Die größten Erfolge - Best of 2010,compilation,2010-02-05,187506,Freddy Breck,14,1
Willst du mich für immer,Michelle,2006,0PiB3p8khJF6ULEvmzuhx1,DEA340601057,Glas,album,2006-01-01,247133,Michelle,3,1
