title,artist,estimated_year,spotify_track_id,isrc
Walking On Sunshine,Katrina & The Waves,1985,05wIrZSwuaVWhcv5FfqeH0,USCA28500452
Summer In the City,Joe Cocker,2019,4JaAu7X4zqWols837Myn5X,USCA29400204
Perfect,Fairground Attraction,1988,2X90tKH59XlulLjbT4vci1,GBARL8800011
Have You Ever Seen The Rain,Creedence Clearwater Revival,1970,2LawezPeJhN4AWuSB0GtAU,USC4R0817643
Je ne parle pas français,Namika,2018,4eJqzRN15DabYK4byfWghD,DEE861800295
One Dance,"Drake, Wizkid, Kyla",2016,1zi7xx7UVEFkmKfv06H8x0,USCM51600028
Vayamos compañeros - Radio Edit,Marquess,2007,6LTAv2W4zYWM5rSKdgHWZS,DEA620700217
MMMBop,Hanson,1997,0lnxrQAd9ZxbhBBe7d8FO8,USMR19786791
High,Lighthouse Family,1997,0AQHfKjzky28rf5ytfBANJ,GBALS9700072
All Night Long (All Night) - Single Version,Lionel Richie,1992,4czNORk5MjW5WOn98bki32,USMO18390005
Let The Music Play,Barry White,2009,2sR6PY1YgPZTB8hZflRbFq,USIR20200274
Shut Up (And Sleep With Me) [Original Airplay Mix],Sin With Sebastian,1995,0fXy5mDtuSBtBMkNtAUhG6,usx9p1318548
Baila Me,Gipsy Kings,1991,06HRc41zK97Hh9AcuyXVZn,GBARL0700383
Summertime,DJ Jazzy Jeff & The Fresh Prince,1991,20XdEFyaUR9C7aDIdq2OAd,USJI19100002
Suavemente,Elvis Crespo,2008,1YwPNemawMgGe6sF4U0FTE,USSD19700576
I Gotta Feeling,Black Eyed Peas,2009,4kLLWz7srcuLKA7Et40PQR,USUM70965169
The Look,Roxette,1988,2oWMI54r0qT4N8Xb4C76vq,SEAME8878010
Mysterious Girl - Radio Edit,Peter Andre,1997,3CiM7fBGbaP6jiyuH2Ot4j,GBAHS0400990
Breaking Me,"Topic, A7S",2019,3H7ihDc1dqLriiWXwsc2po,DEUM71906724
Here Comes The Sun - Remastered 2009,The Beatles,1969,6dGnYIeXmHdcikdzNNDMm2,GBAYE0601696
Eine Woche wach,Mickie Krause,2019,6aRlZoOO6dqXQtqq2wiQZ1,DEUM71901939
