title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Walking On Sunshine,Katrina & The Waves,1985,05wIrZSwuaVWhcv5FfqeH0,USCA28500452,Katrina & The Waves,album,1985,238733,Katrina & The Waves,6,1
Summer In the City,Joe Cocker,2019,4JaAu7X4zqWols837Myn5X,USCA29400204,Sommermusik,compilation,2019-03-15,235066,Various Artists,2,1
Perfect,Fairground Attraction,1988,2X90tKH59XlulLjbT4vci1,GBARL8800011,The First Of A Million Kisses,album,1988-08-08,216573,Fairground Attraction,2,1
Have You Ever Seen The Rain,Creedence Clearwater Revival,1970,2LawezPeJhN4AWuSB0GtAU,USC4R0817643,Pendulum (Expanded Edition),album,1970-12-07,160133,Creedence Clearwater Revival,4,1
Je ne parle pas français,Namika,2018,4eJqzRN15DabYK4byfWghD,DEE861800295,Que Walou,album,2018-06-01,180980,Namika,3,1
One Dance,"Drake, Wizkid, Kyla",2016,1zi7xx7UVEFkmKfv06H8x0,USCM51600028,Views,album,2016-05-06,173986,Drake,12,1
Vayamos compañeros - Radio Edit,Marquess,2007,6LTAv2W4zYWM5rSKdgHWZS,DEA620700217,Frenetica,album,2007-06-29,181253,Marquess,2,1
MMMBop,Hanson,1997,0lnxrQAd9ZxbhBBe7d8FO8,USMR19786791,Middle Of Nowhere,compilation,1997-01-01,268653,Hanson,2,1
High,Lighthouse Family,1997,0AQHfKjzky28rf5ytfBANJ,GBALS9700072,Postcards From Heaven,album,1997-01-01,308333,Lighthouse Family,6,1
All Night Long (All Night) - Single Version,Lionel Richie,1992,4czNORk5MjW5WOn98bki32,USMO18390005,Back To Front,compilation,1992-01-01,258665,Lionel Richie,4,1
Let The Music Play,Barry White,2009,2sR6PY1YgPZTB8hZflRbFq,USIR20200274,Number Ones,compilation,2009-05-19,213400,Barry White,13,1
Shut Up (And Sleep With Me) [Original Airplay Mix],Sin With Sebastian,1995,0fXy5mDtuSBtBMkNtAUhG6,usx9p1318548,Shut Up (And Sleep With Me),album,1995-02-01,226666,Sin With Sebastian,2,1
Baila Me,Gipsy Kings,1991,06HRc41zK97Hh9AcuyXVZn,GBARL0700383,Este Mundo,album,1991-07-22,224506,Gipsy Kings,1,1
Summertime,DJ Jazzy Jeff & The Fresh Prince,1991,20XdEFyaUR9C7aDIdq2OAd,USJI19100002,Homebase,album,1991-07-09,270973,DJ Jazzy Jeff & The Fresh Prince,2,1
Suavemente,Elvis Crespo,2008,1YwPNemawMgGe6sF4U0FTE,USSD19700576,Suavemente...Los Exitos,compilation,2008-10-14,266306,Elvis Crespo,2,1
I Gotta Feeling,Black Eyed Peas,2009,4kLLWz7srcuLKA7Et40PQR,USUM70965169,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],album,2009-01-01,289133,Black Eyed Peas,5,1
The Look,Roxette,1988,2oWMI54r0qT4N8Xb4C76vq,SEAME8878010,Look Sharp! (Extended Version),album,1988-10-21,237320,Roxette,1,1
Mysterious Girl - Radio Edit,Peter Andre,1997,3CiM7fBGbaP6jiyuH2Ot4j,GBAHS0400990,Natural,album,1997-01-10,217106,Peter Andre,3,1
Breaking Me,"Topic, A7S",2019,3H7ihDc1dqLriiWXwsc2po,DEUM71906724,Breaking Me,single,2019-12-19,166793,"Topic, A7S",1,1
Here Comes The Sun - Remastered 2009,The Beatles,1969,6dGnYIeXmHdcikdzNNDMm2,GBAYE0601696,Abbey Road (Remastered),album,1969-09-26,185733,The Beatles,7,1
Eine Woche wach,Mickie Krause,2019,6aRlZoOO6dqXQtqq2wiQZ1,DEUM71901939,Eine Woche wach,single,2019-05-10,235899,Mickie Krause,1,1
Was du Liebe nennst,Bausa,2017,4hKWUzhQWsOkgT6LnDEASe,DEA621702378,Was Du Liebe nennst,single,2017-09-29,203630,Bausa,1,1
A Horse With No Name,America,2011,3BCSIFo2mLFFhSsg0QwpPw,USCGH1180340,Hits,compilation,2011-03-15,227453,America,1,1
How Deep Is Your Love,"Calvin Harris, Disciples",2015,22mek4IiqubGD9ctzxc69s,GBARL1500704,How Deep Is Your Love,single,2015-07-17,212495,"Calvin Harris, Disciples",1,1
Hey Baby (Radio Mix),DJ Ötzi,2010,0HNXnhNZZtRZFLhP4hfyCP,ATHE51081010,Hey Baby (Uh Ah),single,2010-04-25,219240,DJ Ötzi,1,1
Lady Marmalade - Single Edit,"Christina Aguilera, Lil' Kim, Mýa, P!nk",2001,0PSZ9G584Ve27GK6ThlY6P,USUM72206801,Lady Marmalade,single,2001-06-26,267960,"Christina Aguilera, Lil' Kim, Mýa, P!nk",1,1
