title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number,mb_year,mb_year_source,mb_match_method,mb_score,deezer_year,deezer_invalid_year,deezer_status,deezer_track_id,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,manual_source_url,exclusion_reason,final_year
Like Ice in the Sunshine,Beagle Music,1985,csv_year,review_needed,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only,1985,1985,Like Ice in the Sunshine,single,1985,180493,Beagle Music,1,1,2007,mb_ok,text,0.76,,,skipped_off,,,,,,manual_skipped,review_reason: existing_year_conflict; risk_flags: mb_text_match_only+existing_year_conflict+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only+mb_year_suspicious_late+existing_year_conflict; manual: skipped for later review,22,0UNzSO6Ahn3MQ8izYLwc5K,Like Ice in the Sunshine,Beagle Music,playlist_import,,DEP551600193,true,,,
Strandbikini,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,2013,csv_year,review_needed,review_reason: mb_no_match; risk_flags: mb_no_match+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match,2013,2013,"So wie damals - Rock 'n' Roll aus Deutschland, Vol.3",compilation,2013-02-14,130506,Various Artists,13,1,,mb_no_match,,,,,skipped_off,,,,,,manual_skipped,review_reason: mb_no_match; risk_flags: mb_no_match+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match; manual: skipped for later review,,1rvr5N1PGjoE7rsJZCdomp,Strandbikini,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,playlist_import,,DEU241266207,true,,,
Have You Ever Seen The Rain,Creedence Clearwater Revival,1970,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,1970,1970,Pendulum (Expanded Edition),album,1970-12-07,160133,Creedence Clearwater Revival,4,1,1970,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,playlist_import,,USC4R0817643,true,,,
Beautiful Sunday,Daniel Boone,2013,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,2013,2013,Rewind the 70s - Volume 2,compilation,2013-03-31,182133,Various Artists,2,1,2000,mb_match_uncertain,text,0.96,,,skipped_off,,1977,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+existing_year_conflict+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late+existing_year_conflict; manual: skipped for later review,13,6DqNZJ4hhBYd8qj9WbpSTJ,Beautiful Sunday,Daniel Boone,playlist_import,,USV351317686,true,,,
"Türlich, Türlich (Sicher, Dicker)",Das Bo,2000,final_year,auto_accepted_mb_lb_confirmed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only; Auto accepted: ListenBrainz->MusicBrainz confirmed existing MusicBrainz year.,2000,2000,Nur der Zorn zählt,single,2000-07-03,239683,Das Bo,1,1,2000,mb_match_uncertain,text,0.96,,,skipped_off,,2000,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only; manual: skipped for later review,0,0zv3f19rNhmZhNmNA2xJsF,"Türlich, Türlich (Sicher, Dicker)",Das Bo,playlist_import,,DEZN32100024,true,,,
When Love Takes Over (feat. Kelly Rowland),"David Guetta, Kelly Rowland",2009,final_year,auto_accepted_mb_lb_confirmed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Auto accepted: ListenBrainz->MusicBrainz confirmed existing MusicBrainz year.,2010,2010,One More Love,compilation,2010-11-22,191000,David Guetta,1,1,2009,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,1hRFVIy9As8OVRk8B7CrD5,When Love Takes Over (feat. Kelly Rowland),"David Guetta, Kelly Rowland",playlist_import,,FRZID0900200,true,,,
Dance Little Birdie,De Electronica's,1980,csv_year,review_needed,review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match,1980,1980,Dance Little Birdie,single,1980-10-17,157028,De Electronica's,1,1,,mb_no_match,,,,,skipped_off,,,,,,manual_skipped,review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match; manual: skipped for later review,,5WIWTRAfxVY5mvRw4cdb0c,Dance Little Birdie,De Electronica's,playlist_import,,NLA342200075,true,,,
Ich bin der Martin 'ne,Diether Krebs,1991,final_year,auto_accepted_mb_lb_confirmed,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only; Auto accepted: ListenBrainz->MusicBrainz confirmed existing MusicBrainz year.,2005,2005,Ich bin der Martin 'ne,single,2005-06-01,240026,Diether Krebs,1,1,1991,mb_ok,text,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only; manual: skipped for later review,0,2znqUPNy69gC4l5cC6CtAK,Ich bin der Martin 'ne,Diether Krebs,playlist_import,,DEG419900676,true,,,
Volare,Domenico Modugno,2020,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,2020,2020,Volare,album,2020-07-18,214853,Domenico Modugno,1,1,2010,mb_match_uncertain,text,0.96,,,skipped_off,,1972,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+existing_year_conflict+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late+existing_year_conflict; manual: skipped for later review,10,71hIekopkrYCGgggsBOpVG,Volare,Domenico Modugno,playlist_import,,DETL61621179,true,,,
Dance The Night,Dua Lipa,2023,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,2023,2023,Barbie The Album,compilation,2023-07-21,176579,Various Artists,2,1,2023,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,11C4y2Yz1XbHmaQwO06s9f,Dance The Night,Dua Lipa,playlist_import,,USAT22305730,true,,,
