title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number,mb_year,mb_year_source,mb_match_method,mb_score,deezer_year,deezer_invalid_year,deezer_status,deezer_track_id,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,manual_source_url,exclusion_reason,final_year,listenbrainz_match_status,listenbrainz_year_signal,listenbrainz_context_flags,listenbrainz_version_flags,listenbrainz_recommendation,listenbrainz_mb_year,listenbrainz_mb_year_source,listenbrainz_year_delta_vs_current_mb,listenbrainz_year_delta_vs_spotify,listenbrainz_recording_mbid,listenbrainz_recording_name,listenbrainz_release_mbid,listenbrainz_release_name,final_source,review_reason
Scars To Your Beautiful,Alessia Cara,,,,,2016,2016,Know-It-All (Deluxe),album,2016-03-11,230226,Alessia Cara,10,1,2015,mb_ok,isrc,1.00,,,skipped_off,,,,,2015,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,42ydLwx4i5V49RXHOozJZq,Scars To Your Beautiful,Alessia Cara,playlist_import,,USUM71506811,true,,,2015,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2015,recording_first_release_date,0,-1,6a8875d3-3bb5-4c5b-9498-e5f2ae6dd1d1,Scars to Your Beautiful,33e10aea-0a30-49ee-b5d4-6c8dcfba4a12,Know-It-All,musicbrainz,manual_batch_lb_context_warning_confirmed
Fallin',Alicia Keys,,,,,2001,2001,Songs In A Minor (Expanded Edition),album,2001-06-26,210200,Alicia Keys,4,1,2001,mb_ok,isrc,1.00,,,skipped_off,,,,,2001,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,3unsLiH5FXmaDWtT5Imolu,Fallin',Alicia Keys,playlist_import,,USJAY0100057,true,,,2001,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2001,recording_first_release_date,0,0,7276155b-a01b-42a9-9d31-eb0c317d07b8,Fallin’,7a629d52-6a61-3ea1-a0a0-dd50bdef63b4,Songs in A minor,musicbrainz,manual_batch_lb_context_warning_confirmed
No One,Alicia Keys,,,,,2007,2007,As I Am (Expanded Edition),album,2007-11-09,253813,Alicia Keys,4,1,2007,mb_ok,isrc,0.86,,,skipped_off,,,,,2007,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,6IwKcFdiRQZOWeYNhUiWIv,No One,Alicia Keys,playlist_import,,USJAY0700190,true,,,2007,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2007,recording_first_release_date,0,0,83fa4748-2c91-4981-b480-23a764d69fc7,No One,09a9c201-c138-48eb-bcc4-4ca1b272156e,As I Am,musicbrainz,manual_batch_lb_context_warning_confirmed
Knock On Wood,Amii Stewart,,,,,2012,2012,Greatest Hits,compilation,2012-10-17,250520,Amii Stewart,7,1,2012,mb_ok,isrc,1.00,,,skipped_off,,,,,2012,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,6120uJUyg6QDzaAJUosTx5,Knock On Wood,Amii Stewart,playlist_import,,USA561379853,true,,,2012,ok,confirms_current_mb_and_spotify,best_of_context+compilation_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2012,recording_first_release_date,0,0,21254e87-1cc6-4c5c-9d69-b52302194178,Knock On Wood,2f61d189-7659-409e-9575-23d2d206731e,Greatest Hits,musicbrainz,manual_batch_lb_context_warning_confirmed
Rehab,Amy Winehouse,,,,,2006,2006,Back To Black (Deluxe Edition),compilation,2006,214946,Amy Winehouse,1,1,2006,mb_ok,isrc,1.00,,,skipped_off,,,,,2006,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,3N4DI1vuTSX1tz7fa2NQZw,Rehab,Amy Winehouse,playlist_import,,GBUM70603730,true,,,2006,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2006,recording_first_release_date,0,0,873eba85-b721-4728-be2e-96ce94cccb8b,Rehab,0b0ca6cc-f793-3dd8-9329-611a9fb08ae2,Back to Black (Deluxe Edition),musicbrainz,manual_batch_lb_context_warning_confirmed
Barbie Girl,Aqua,,,,,1997,1997,Aquarium (Special Edition),album,1997-01-01,197960,Aqua,3,1,1997,mb_ok,isrc,1.00,,,skipped_off,,,,,1997,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,5ZrDlcxIDZyjOzHdYW1ydr,Barbie Girl,Aqua,playlist_import,,DKBKA9700403,true,,,1997,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1997,recording_first_release_date,0,0,5268ded7-3c3c-465b-805f-cb14e407ec2d,Barbie Girl,c6239c88-3e7f-4920-9c65-6cc344428948,Aquarium (Special Edition),musicbrainz,manual_batch_lb_context_warning_confirmed
White Wedding,Billy Idol,,,,,1985,1985,Vital Idol,album,1985,506226,Billy Idol,1,1,1982,mb_ok,text,0.96,,,skipped_off,,,,,1982,manual_confirmed_mb,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only; Manual batch accept: MB year accepted despite LB->MB context warning.,,0bvpSvOYt4KTfZIZJmyFOs,White Wedding,Billy Idol,playlist_import,,USNPD1227957,true,,,1982,ok,confirms_current_mb,live_context+deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1982,recording_release_group_first_release_date:e47df7d5-5be0-396a-a35d-a759d336d094,0,-3,fe62befc-751d-4b37-a20f-d10155e843b4,White Wedding,f0b5ad7e-7183-4973-a388-d64adade4871,Billy Idol,musicbrainz,manual_batch_lb_context_warning_confirmed
Heaven,Bryan Adams,,,,,1984,1984,Reckless (30th Anniversary / Deluxe Edition),album,1984-11-05,243360,Bryan Adams,4,1,1984,mb_ok,isrc,1.00,,,skipped_off,,,,,1984,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,7Ewz6bJ97vUqk5HdkvguFQ,Heaven,Bryan Adams,playlist_import,,USAM18490004,true,,,1984,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1984,recording_first_release_date,0,0,f57f9d51-1367-4f92-83ff-4b1ee941de1a,Heaven,4954d1c6-b98e-4ea2-b12f-b0a4c8f31ee3,Reckless,musicbrainz,manual_batch_lb_context_warning_confirmed
Ab in den Süden - Neuaufnahme,Buddy,,,,,2014,2014,Dschungel Fieber 2014 - Dschungel Party Hits der Stars,compilation,2014-01-17,208512,Various Artists,2,1,2015,mb_ok,isrc,0.92,,,skipped_off,,,,,2015,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: confirmed MusicBrainz year 2015,,2XQ00wanrsQOL9djhTQEEY,Ab in den Süden - Neuaufnahme,Buddy,playlist_import,,DEZ921300172,true,,,2015,ok,confirms_current_mb_and_spotify,best_of_context+noisy_release_context,neuaufnahme,manual_version_risk,2014,recording_first_release_date,-1,0,f717a7bf-fdd8-42d4-95c7-fd5d973bc2a0,Ab in den Süden (Neuaufnahme),02ea964f-145c-47f6-a4f2-63a700ce4cb0,Ab in den Süden 2014,musicbrainz,manual_confirmed_mb
Ganz Paris Traumt Von Der Liebe,Caterina Valente,,,,,2011,2011,"Caterina Valente, Vol. 1",album,2011-08-11,172320,Caterina Valente,8,1,1954,mb_ok,text,1.00,,,skipped_off,,,,,1954,manual_confirmed_mb,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only; manual: confirmed MusicBrainz year 1954,,0Q7FgdMZqsxgTl10w6uCi8,Ganz Paris Traumt Von Der Liebe,Caterina Valente,playlist_import,,NLG620471374,true,,,1954,ok,alternative_later_than_current_mb,,,manual_conflicting_years,1987,recording_first_release_date,33,-24,111f840c-973f-43c9-a2fc-cb9613c31a3a,Ganz Paris träumt von der Liebe,237a74c7-3065-4533-a800-c5128fa1a3dc,Hallo!,musicbrainz,manual_confirmed_mb
