title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number,mb_year,mb_year_source,mb_match_method,mb_score,deezer_year,deezer_invalid_year,deezer_status,deezer_track_id,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,manual_source_url,exclusion_reason,final_year,listenbrainz_match_status,listenbrainz_year_signal,listenbrainz_context_flags,listenbrainz_version_flags,listenbrainz_recommendation,listenbrainz_mb_year,listenbrainz_mb_year_source,listenbrainz_year_delta_vs_current_mb,listenbrainz_year_delta_vs_spotify,listenbrainz_recording_mbid,listenbrainz_recording_name,listenbrainz_release_mbid,listenbrainz_release_name,final_source,review_reason
Rock Around The Clock,Bill Haley & His Comets,,,,,1968,1968,Biggest Hits,compilation,1968-01-01,137000,Bill Haley & His Comets,1,1,1994,mb_ok,isrc,0.94,,,skipped_off,,1970,,,,review_needed,review_reason: discogs_earlier_than_mb; risk_flags: catalog_context+compilation_context+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: manual_review_compare_musicbrainz_discogs; discogs_lookup: mb_year_suspicious_late,,34AmZ4PMz9iNZVp9AMIGZj,Rock Around The Clock,Bill Haley & His Comets,playlist_import,,SEBFO6804010,true,,,,ok,alternative_earlier_than_current_mb,best_of_context+noisy_release_context,,useful_alternative_mb_year,1970,recording_first_release_date,-24,2,2c086406-4f7e-4f33-823b-a48b77e02992,Rock Around the Clock,20d21e05-7262-4de9-bc4f-e8ee088ce103,Rock Around the Clock / Framed,,
Dancing With Myself,Billy Idol,,,,,1985,1985,Vital Idol,album,1985,359733,Billy Idol,2,1,1991,mb_match_uncertain,text,1.00,,,skipped_off,,1985,,,,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,,1BY1Vd2Bt6JPOhMvsIwtVv,Dancing With Myself,Billy Idol,playlist_import,,USNPD1217889,true,,,,ok,alternative_earlier_than_current_mb,,,manual_conflicting_years,1982,recording_first_release_date,-9,-3,d459c917-fb0e-47fe-9293-d13f654d1a3c,Dancing With Myself,c9ec57c5-6893-4b8e-a910-d3f345a8acee,Billy Idol,,
White Wedding,Billy Idol,,,,,1985,1985,Vital Idol,album,1985,506226,Billy Idol,1,1,1982,mb_ok,text,0.96,,,skipped_off,,,,,,review_needed,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only,,0bvpSvOYt4KTfZIZJmyFOs,White Wedding,Billy Idol,playlist_import,,USNPD1227957,true,,,,ok,confirms_current_mb,live_context+deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1982,recording_release_group_first_release_date:e47df7d5-5be0-396a-a35d-a759d336d094,0,-3,fe62befc-751d-4b37-a20f-d10155e843b4,White Wedding,f0b5ad7e-7183-4973-a388-d64adade4871,Billy Idol,,
Bad Medicine,Bon Jovi,,,,,1988,1988,New Jersey (Deluxe Edition),album,1988-09-13,316706,Bon Jovi,2,1,1988,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,72hcFp4tYkd3dbNA9dZ3Pv,Bad Medicine,Bon Jovi,playlist_import,,USPR39402228,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1988,recording_first_release_date,0,0,5053c294-90fe-47e9-9e21-1a4c4538c20f,Bad Medicine,7f24e793-098a-4943-b041-b24360c6148f,New Jersey (deluxe edition),,
Sleepwalking,Bring Me The Horizon,,,,,2013,2013,Sempiternal (Expanded Edition),album,2013-04-01,230090,Bring Me The Horizon,4,1,2013,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,0gchQwxmBWj5no8NJ8b2yH,Sleepwalking,Bring Me The Horizon,playlist_import,,GBARL1202418,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2013,recording_first_release_date,0,0,3629ee1e-9982-4a3e-aa6d-a710861b7403,Sleepwalking,1637ac31-0dde-4552-8701-269d5d6730e1,Sempiternal,,
Run To You,Bryan Adams,,,,,1984,1984,Reckless (30th Anniversary / Deluxe Edition),album,1984-11-05,233270,Bryan Adams,3,1,1984,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,2RWFncSWZEhSRRifqiDNVV,Run To You,Bryan Adams,playlist_import,,USAM18490003,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1984,recording_first_release_date,0,0,de362755-0695-44aa-bcd9-6847ea5e1251,Run to You,4954d1c6-b98e-4ea2-b12f-b0a4c8f31ee3,Reckless,,
Machinehead - Remastered 2014,Bush,,,,,1994,1994,Sixteen Stone (Remastered),album,1994-12-06,256333,Bush,7,1,1994,mb_ok,isrc,0.96,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,1wrhhPzd2ncJPNgUcGgBGg,Machinehead - Remastered 2014,Bush,playlist_import,,QM7YK1400021,true,,,,ok,confirms_current_mb_and_spotify,,remastered,manual_version_risk,1994,recording_first_release_date,0,0,af3f426f-db2a-4d72-8ec1-e6c28d0314b7,Machinehead,ca0c253f-74fe-432b-b402-b94626043f8f,Sixteen Stone,,
Fortunate Son,Creedence Clearwater Revival,,,,,1969,1969,Willy And The Poor Boys (Expanded Edition),album,1969-11-02,140773,Creedence Clearwater Revival,6,1,1969,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,playlist_import,,USC4R0817618,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1969,recording_first_release_date,0,0,e5178630-952b-486e-bb67-559c62f1b3db,Fortunate Son,5c242cb5-ac27-4eee-825e-8d7b9c781ecd,Willy and the Poor Boys,,
Run Through The Jungle,Creedence Clearwater Revival,,,,,1970,1970,Cosmo's Factory (Expanded Edition),album,1970-07-25,184746,Creedence Clearwater Revival,6,1,1970,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,6J0AjzrYsPZrQtw6IjErhy,Run Through The Jungle,Creedence Clearwater Revival,playlist_import,,USC4R0817631,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1970,recording_first_release_date,0,0,acfbe1ab-b897-433d-bbb6-ac43273f218c,Run Through the Jungle,447539e3-c8c2-4eeb-97d2-60c2e658fa5c,Cosmo’s Factory,,
Bonnie & Clyde,Die Toten Hosen,,,,,1996,1996,Opium für's Volk (Deluxe-Edition mit Bonus-Tracks),album,1996,211733,Die Toten Hosen,9,1,1996,mb_ok,isrc,0.96,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,2hZAJcLnFGk6V50TiD7yzm,Bonnie & Clyde,Die Toten Hosen,playlist_import,,DEF240712435,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1996,recording_first_release_date,0,0,93f69423-c685-4e5b-8187-2e3d2036ca10,Bonnie & Clyde,6eb19d94-5451-4caa-9d0c-c83df5520d7d,Opium fürs Volk,,
