title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number,mb_year,mb_year_source,mb_match_method,mb_score,deezer_year,deezer_invalid_year,deezer_status,deezer_track_id,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,manual_source_url,exclusion_reason,final_year,listenbrainz_match_status,listenbrainz_year_signal,listenbrainz_context_flags,listenbrainz_version_flags,listenbrainz_recommendation,listenbrainz_mb_year,listenbrainz_mb_year_source,listenbrainz_year_delta_vs_current_mb,listenbrainz_year_delta_vs_spotify,listenbrainz_recording_mbid,listenbrainz_recording_name,listenbrainz_release_mbid,listenbrainz_release_name,final_source,review_reason
Around the World (La La La La La),"A Touch Of Class, Pete Konemann",,,,,2000,2000,Planet Pop,album,2000-11-22,214533,A Touch Of Class,2,1,2020,mb_match_uncertain,text,0.96,,,skipped_off,,,,,,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,,0IbTukfZdB91gclEXUQZkH,Around the World (La La La La La),"A Touch Of Class, Pete Konemann",playlist_import,,DEP810000008,true,,,,ok,alternative_earlier_than_current_mb,various_artists_context+compilation_context+noisy_release_context,,manual_conflicting_years,2016,recording_first_release_date,-4,16,c81b32e7-0f09-4371-8fe3-4cf944d1ad7a,Around the World (La La La La La) (radio version),bf5ea730-3a5d-44ad-8f28-ffa9be644524,"Retroperjantai - We Love the 90's, Vol. 2",,
Nossa Nossa (Ai Se Eu Te Pego) - Single Version,Ai Se Eu Te Pego Nossa Nossa,,,,,2012,2012,Nossa Nossa (Ai Se Eu Te Pego),single,2012-06-21,167916,Ai Se Eu Te Pego Nossa Nossa,1,1,,mb_no_match,,,,,skipped_off,,,,,,review_needed,review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match,,0ZX1AU9VjSVkzb8vro8PMU,Nossa Nossa (Ai Se Eu Te Pego) - Single Version,Ai Se Eu Te Pego Nossa Nossa,playlist_import,,DEY691200102,true,,,,no_match,no_year,,,unusable,,,,,,,,,,
A Horse With No Name,America,,,,,2011,2011,Hits,compilation,2011-03-15,227453,America,1,1,1973,mb_ok,isrc,0.86,,,skipped_off,,1971,,,1973,review_needed_after_discogs,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; Discogs earlier than MusicBrainz; manual review required,,3BCSIFo2mLFFhSsg0QwpPw,A Horse With No Name,America,playlist_import,,USCGH1180340,true,,,,ok,alternative_later_than_current_mb,best_of_context+deluxe_context+compilation_context+noisy_release_context,,manual_conflicting_years,2011,recording_first_release_date,38,0,c44ad598-6f91-48d7-8502-c1708d99bc42,A Horse With No Name,a2a252b2-2602-4ae1-9bc3-e53f6339e6df,Hits,,
I.O.I.O. - Radio Edit,B 3,,,,,2002,2002,I.O.I.O.,single,2002-01-01,183000,B 3,1,1,,mb_no_match,,,,,skipped_off,,,,,,review_needed,review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match,,3b2lYcUl4Scnm4CnltLMvY,I.O.I.O. - Radio Edit,B 3,playlist_import,,DEPI82100993,true,,,,ok,confirms_spotify,artist_mismatch,radio_edit,manual_noisy_context,2002,recording_first_release_date,,0,26e20aa3-a922-4597-84ee-f7d18f83f54a,I.O.I.O.,e917a3f0-2dda-4242-9a88-a02518a52985,First,,
Bella Isola - Radio,Bata Illic,,,,,2003,2003,Bella Isola,single,2003-04-30,239827,Bata Illic,1,1,,mb_no_match,,,,,skipped_off,,,,,,review_needed,review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match,,0tRdzXtsvcdVcUCvLYa6Ow,Bella Isola - Radio,Bata Illic,playlist_import,,DEQ090300067,true,,,,no_match,no_year,,,unusable,,,,,,,,,,
Like Ice in the Sunshine,Beagle Music,,,,,1985,1985,Like Ice in the Sunshine,single,1985,180493,Beagle Music,1,1,2007,mb_ok,text,0.76,,,skipped_off,,,,,,review_needed,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only,,0UNzSO6Ahn3MQ8izYLwc5K,Like Ice in the Sunshine,Beagle Music,playlist_import,,DEP551600193,true,,,,ok,alternative_later_than_current_mb,best_of_context+compilation_context+various_artists_context+noisy_release_context,,manual_conflicting_years,2022,recording_first_release_date,15,37,0c94c1e0-2e4c-46de-9f97-3a8e10b078fa,Like Ice in the Sunshine (original version),cd318d15-533a-403b-80be-deadf2b1c355,Die ultimative Chartshow: Die erfolgreichsten Ballermann Hits – 50 Jahre Ballermann,,
I Gotta Feeling,Black Eyed Peas,,,,,2009,2009,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],album,2009-01-01,289133,Black Eyed Peas,5,1,2009,mb_ok,isrc,0.96,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,4kLLWz7srcuLKA7Et40PQR,I Gotta Feeling,Black Eyed Peas,playlist_import,,USUM70965169,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+compilation_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2010,recording_first_release_date,1,1,95849cc7-fa62-4953-803e-69ac1eded36f,I Gotta Feeling,8e066a9a-2073-4474-8ae3-11a1b16757a7,Major Flavours 5,,
Love Generation - Radio Edit,"Bob Sinclar, Gary Pine",,,,,2005,2005,La Saga Des Hits,compilation,2005-01-01,207613,Various Artists,1,1,2005,mb_ok,isrc,0.96,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,3s3DWOPtKQSgJVDRKu85Tt,Love Generation - Radio Edit,"Bob Sinclar, Gary Pine",playlist_import,,FRQ380500331,true,,,,ok,alternative_earlier_than_current_mb,best_of_context+noisy_release_context,radio_edit,manual_conflicting_years,2003,recording_release_group_first_release_date:da56de33-5bd1-421d-a595-551adfd750d8,-2,-2,7caa8131-c126-4e23-8355-ae5da7f1fb0c,Love Generation (radio edit),13bccf8e-1cc0-447f-be1a-fe62898f4e6e,Love Generation,,
Summer Of '69,Bryan Adams,,,,,1984,1984,Reckless (30th Anniversary / Deluxe Edition),album,1984-11-05,216053,Bryan Adams,6,1,1984,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,0GONea6G2XdnHWjNZd6zt3,Summer Of '69,Bryan Adams,playlist_import,,USAM18490006,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1984,recording_first_release_date,0,0,63829f37-1e41-4f31-a5c8-4dfa78e0aa9d,Summer of ’69,4954d1c6-b98e-4ea2-b12f-b0a4c8f31ee3,Reckless,,
Ab in den Süden - Neuaufnahme,Buddy,,,,,2014,2014,Dschungel Fieber 2014 - Dschungel Party Hits der Stars,compilation,2014-01-17,208512,Various Artists,2,1,2015,mb_ok,isrc,0.92,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,2XQ00wanrsQOL9djhTQEEY,Ab in den Süden - Neuaufnahme,Buddy,playlist_import,,DEZ921300172,true,,,,ok,confirms_current_mb_and_spotify,best_of_context+noisy_release_context,neuaufnahme,manual_version_risk,2014,recording_first_release_date,-1,0,f717a7bf-fdd8-42d4-95c7-fd5d973bc2a0,Ab in den Süden (Neuaufnahme),02ea964f-145c-47f6-a4f2-63a700ce4cb0,Ab in den Süden 2014,,
Strandbikini,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,,,,,2013,2013,"So wie damals - Rock 'n' Roll aus Deutschland, Vol.3",compilation,2013-02-14,130506,Various Artists,13,1,,mb_no_match,,,,,skipped_off,,,,,,review_needed,review_reason: mb_no_match; risk_flags: mb_no_match+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match,,1rvr5N1PGjoE7rsJZCdomp,Strandbikini,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,playlist_import,,DEU241266207,true,,,,no_match,no_year,,,unusable,,,,,,,,,,
Have You Ever Seen The Rain,Creedence Clearwater Revival,,,,,1970,1970,Pendulum (Expanded Edition),album,1970-12-07,160133,Creedence Clearwater Revival,4,1,1970,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,playlist_import,,USC4R0817643,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1970,recording_first_release_date,0,0,b5634bbd-cf5c-4206-8063-f7f5079eaa29,Have You Ever Seen the Rain?,933f90d8-a468-4f77-83e7-7b0826696106,Pendulum,,
Beautiful Sunday,Daniel Boone,,,,,2013,2013,Rewind the 70s - Volume 2,compilation,2013-03-31,182133,Various Artists,2,1,1996,mb_match_uncertain,text,0.96,,,skipped_off,,1977,,,,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,,6DqNZJ4hhBYd8qj9WbpSTJ,Beautiful Sunday,Daniel Boone,playlist_import,,USV351317686,true,,,,ok,alternative_earlier_than_current_mb,,,manual_conflicting_years,1972,recording_first_release_date,-24,-41,d91e5bec-87fd-4886-a74d-f4ed66d1d21b,Beautiful Sunday,0e8db110-5773-48b3-b9cc-5e0e881924fe,Beautiful Sunday,,
Dance Little Birdie,De Electronica's,,,,,1980,1980,Dance Little Birdie,single,1980-10-17,157028,De Electronica's,1,1,,mb_no_match,,,,,skipped_off,,,,,,review_needed,review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match,,5WIWTRAfxVY5mvRw4cdb0c,Dance Little Birdie,De Electronica's,playlist_import,,NLA342200075,true,,,,ok,no_year,,,manual_conflicting_years,1982,recording_first_release_date,,2,5b5f3eec-4a53-49dd-a26b-4548e0dd620f,Dance Little Bird,18f160f5-16d3-4be6-999a-68f2aa1403f4,Boemelen met De Electronica’s,,
Volare,Domenico Modugno,,,,,2020,2020,Volare,album,2020-07-18,214853,Domenico Modugno,1,1,2010,mb_match_uncertain,text,0.96,,,skipped_off,,1972,,,,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,,71hIekopkrYCGgggsBOpVG,Volare,Domenico Modugno,playlist_import,,DETL61621179,true,,,,ok,alternative_earlier_than_current_mb,various_artists_context+soundtrack_context+noisy_release_context,,manual_conflicting_years,1990,recording_first_release_date,-20,-30,358794a1-b8df-4245-acb1-1489b813e297,Volare,e3a8c625-5b3e-4627-ae13-3e01fd0bce9c,Filmmusik von Eis am Stiel,,
Dance The Night,Dua Lipa,,,,,2023,2023,Barbie The Album,compilation,2023-07-21,176579,Various Artists,2,1,2023,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,11C4y2Yz1XbHmaQwO06s9f,Dance The Night,Dua Lipa,playlist_import,,USAT22305730,true,,,,ok,confirms_current_mb_and_spotify,various_artists_context+soundtrack_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2023,recording_first_release_date,0,0,4fbf9706-4e50-4e0d-b98b-a94c930839ae,Dance the Night,91f0bc3d-9d61-45f9-b10a-33ad431b1a6e,Barbie: The Album,,
Shape of You,Ed Sheeran,,,,,2017,2017,÷ (Deluxe),album,2017-03-03,233712,Ed Sheeran,4,1,2017,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,playlist_import,,GBAHS1600463,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2017,recording_first_release_date,0,0,d7500dd6-b815-4299-88c6-3fbda358f1fc,Shape of You,769e64d7-b7a8-4ad1-84d8-0e0063d8fe64,÷,,
Aloha-Ahe,Freddy Quinn,,,,,2013,2013,Weit ist der Weg,compilation,2013-11-21,213893,Freddy Quinn,3,1,,mb_no_match,,,,,skipped_off,,,,,,review_needed,review_reason: mb_no_match; risk_flags: mb_no_match+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match,,6oCNhDipqAForPCDGtTBQP,Aloha-Ahe,Freddy Quinn,playlist_import,,QMDA71378219,true,,,,ok,no_year,live_context+noisy_release_context+title_mismatch,,manual_noisy_context,1965,recording_first_release_date,,-48,7f8e0462-d7c2-494b-9d79-8d400071db01,Alo-Ahe,434ce46e-c7b7-41df-a2b3-a4d9d9c2843d,Ein Abend mit Freddy,,
