title,artist,csv_year,mb_year,mb_year_source,diff,spotify_track_id,spotify_match_name,spotify_match_artist,isrc,spotify_found,final_year
Hit That,Crazy Town,2002,,,,,,,,false,
Drowning Pool,Bodies,2001,,,,,,,,false,
Let the Bodies Hit the Floor,Drowning Pool,2001,,,,,,,,false,
Get Up Come on Get Down,Sevendust,2001,,,,,,,,false,
Living in a Lie,Lonestar,1998,,,,,,,,false,
This Is the New Shit,Marilyn Manson,2003,,,,,,,,false,
Jumpin' Jack Flash,The Rolling Stones,1968,2021,musicbrainz,53,1uBsu3PbD2909UBIfEMLvK,Jumpin' Jack Flash,The Rolling Stones,USA171810060,true,
Still Loving You,Scorpions,1984,2007,musicbrainz,23,0RdUX4WE0fO30VnlUbDVL6,Still Loving You,Scorpions,DEE861101524,true,
Holy Wars,Megadeth,1990,2004,musicbrainz,14,5LyRtsQLhcXmy50VXhQXXS,Holy Wars...The Punishment Due - 2004 Remix,Megadeth,USCA20400647,true,
Symphony of Destruction,Megadeth,1992,2004,musicbrainz,12,51TG9W3y9qyO8BY5RXKgnZ,Symphony Of Destruction,Megadeth,USCA20400616,true,
Walk This Way,Aerosmith,1975,1986,musicbrainz,11,6qUEOWqOzu1rLPUPQ1ECpx,Walk This Way (feat. Aerosmith),Run–D.M.C.,USAR19900334,true,
Adrenaline,Shinedown,2003,2012,musicbrainz,9,5oJrV0mGkw9dilk96X3W0c,Adrenaline,Shinedown,USAT21200232,true,
Drowning,Crazy Town,1999,2002,musicbrainz,3,6UI5070fXjclDkp1obCmFm,Drowning,Crazy Town,USSM10211634,true,
Simple Man,Shinedown,2007,2004,musicbrainz,3,7gmfoXsjwQYn6HeHUYRpY2,Simple Man,Shinedown,USAT20400835,true,
Funk #49,The James Gang,1970,1973,musicbrainz,3,5h6SovHOYpIMlAkafxcbq3,Funk #49,James Gang,USMC17344505,true,
Broken Home,Papa Roach,2002,2000,musicbrainz,2,1s4BLQm5rznGLrNZd0GlwM,Broken Home,Papa Roach,USDW10021715,true,
Voices,Disturbed,2002,2000,musicbrainz,2,1jPgyViNE7djYSr1xEPlPJ,Voices,Disturbed,USGI19900179,true,
Detroit Rock City,KISS,1976,1978,musicbrainz,2,0PQ51hZtABYRaXNHkVpAfD,Detroit Rock City,KISS,USPR37707201,true,
Remedy,Seether,2003,2005,musicbrainz,2,5ynxx6zC4dgzsMHLYQ04Dc,Remedy,Seether,USWU30500016,true,
Black and White,Static-X,1999,2001,musicbrainz,2,1GwiQCsJ0wEtzQTnblUSnH,Black and White,Static-X,USWB10100409,true,
Bring Me to Life,Evanescence,2003,2002,musicbrainz,1,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Evanescence,USWU30200093,true,
Like a Stone,Audioslave,2003,2002,musicbrainz,1,2MrWu3Gt6ucsOHC6eE8oLV,Like a Stone,Audioslave,USSM10211587,true,
Show Me How to Live,Audioslave,2003,2002,musicbrainz,1,4j4GOtjzdDux57p39vJPnz,Show Me How to Live,Audioslave,USSM10211589,true,
No Excuses,Alice in Chains,1994,1993,musicbrainz,1,4PtZE0h5oyPhCtPjg3NeYQ,No Excuses,Alice In Chains,USSM19303748,true,
Smooth Criminal,Alien Ant Farm,2001,2000,musicbrainz,1,5z6xHjCZr7a7AIcy8sPBKy,Smooth Criminal,Alien Ant Farm,USDW10022224,true,
